Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Market Capital,Financial Results,Next Financial Statement
AMGN,330.06,321.9,8.16,Amgen Inc.,Healthcare,178635046912.0,USD,N/A
ADP,278.4,263.68,14.72,"Automatic Data Processing, Inc.",Technology,113167196160.0,USD,N/A
ON,69.33,68.89,0.44,ON Semiconductor Corporation,Technology,30721693696.0,USD,N/A
QCOM,164.98,159.9,5.08,QUALCOMM Incorporated,Technology,186851213312.0,USD,N/A
DASH,130.19,124.22,5.97,"DoorDash, Inc.",Communication Services,54055911424.0,USD,N/A
ROST,152.68,142.72,9.96,"Ross Stores, Inc.",Consumer Cyclical,51506049024.0,USD,N/A
CSX,33.45,33.38,0.07,CSX Corporation,Industrials,64986566656.0,USD,N/A
TEAM,165.69,145.4,20.29,Atlassian Corporation,Technology,42576986112.0,USD,N/A
DDOG,109.63,108.26,1.37,"Datadog, Inc.",Technology,36837228544.0,USD,N/A
HON,204.67,197.87,6.8,Honeywell International Inc.,Industrials,132630323200.0,USD,N/A
TTWO,153.61,146.56,7.05,"Take-Two Interactive Software, Inc.",Communication Services,26674567168.0,USD,N/A
ARM,139.18,119.96,19.22,Arm Holdings plc,Technology,154443759616.0,USD,N/A
AAPL,222.77,221.11,1.66,Apple Inc.,Technology,3382912221184.0,USD,N/A
CEG,189.93,175.13,14.8,Constellation Energy Corporation,Utilities,61280788480.0,USD,N/A
DLTR,67.89,67.12,0.77,"Dollar Tree, Inc.",Consumer Defensive,14984941568.0,USD,N/A
TMUS,202.41,194.1,8.31,"T-Mobile US, Inc.",Communication Services,236657999872.0,USD,N/A
CTSH,76.31,74.62,1.69,Cognizant Technology Solutions Corporation,Technology,38269751296.0,USD,N/A
MU,87.21,88.51,-1.3,"Micron Technology, Inc.",Technology,101148377088.0,USD,N/A
AEP,102.99,97.26,5.73,"American Electric Power Company, Inc.",Utilities,55430938624.0,USD,N/A
CDW,218.64,214.14,4.5,CDW Corporation,Technology,29406754816.0,USD,N/A
ASML,800.17,769.45,30.72,ASML Holding N.V.,Technology,320992739328.0,EUR,N/A
LRCX,747.78,745.3,2.48,Lam Research Corporation,Technology,99968147456.0,USD,N/A
