Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
KDP,37.05,35.36,1.69,Keurig Dr Pepper Inc.,Consumer Defensive,Beverages—Non-Alcoholic,50799128576.0,24.012821,2.054629,2.77,0.024500001,1.56,15061999616.0,0.14474,4228000000.0,Not Available
ZS,166.71,160.25,6.46,"Zscaler, Inc.",Technology,Software—Infrastructure,26336548864.0,Not Available,20.671455,3.28,Not Available,-0.4,2167770880.0,-0.026619999,-90237000.0,Not Available
WBD,7.66,7.07,0.59,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,20203737088.0,Not Available,0.5880254,0.03,Not Available,-4.81,39934001152.0,-0.29471,7409999872.0,Not Available
ADI,221.53,215.77,5.76,"Analog Devices, Inc.",Technology,Semiconductors,112594681856.0,70.42857,3.1996276,-14.41,0.015800001,3.22,9700435968.0,0.17068,4361349120.0,Not Available
ADBE,586.55,540.35,46.2,Adobe Inc.,Technology,Software—Infrastructure,231587807232.0,44.641026,15.979806,2.07,Not Available,11.7,20946999296.0,0.25588,8134000128.0,Not Available
SMCI,442.13,410.69,31.44,"Super Micro Computer, Inc.",Technology,Computer Hardware,26776129536.0,21.733364,4.906541,0.21,Not Available,21.04,14942854144.0,0.08085,1304590720.0,Not Available
CPRT,49.47,49.87,-0.4,"Copart, Inc.",Industrials,Specialty Business Services,49500606464.0,37.007195,6.5805297,1.51,Not Available,1.39,4236823040.0,0.32171002,1761784064.0,Not Available
PEP,177.25,172.82,4.43,"PepsiCo, Inc.",Consumer Defensive,Beverages—Non-Alcoholic,235127717888.0,24.880812,12.101802,3.04,0.0317,6.88,92054003712.0,0.10341,16842000384.0,Not Available
COST,915.03,867.98,47.05,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,402095964160.0,55.848522,18.470968,5.7,0.0050999997,16.24,253695000576.0,0.028269999,11242999808.0,Not Available
MDLZ,74.38,70.72,3.66,"Mondelez International, Inc.",Consumer Defensive,Confectioners,99223224320.0,25.702421,3.5871925,3.2,0.0251,2.89,35975999488.0,0.10971,7886000128.0,Not Available
BKNG,3870.7,3601.9,268.8,Booking Holdings Inc.,Consumer Cyclical,Travel Services,136243494912.0,28.495373,Not Available,1.04,0.0086,142.62,22399000576.0,0.22456,6986999808.0,Not Available
GFS,39.89,40.56,-0.67,GlobalFoundries Inc.,Technology,Semiconductors,21745532928.0,28.15,1.9326206,3.67,Not Available,1.4,6887000064.0,0.118190005,2412000000.0,Not Available
XEL,63.89,59.39,4.5,Xcel Energy Inc.,Utilities,Utilities—Regulated Electric,35752538112.0,19.143284,1.9907492,2.67,0.0342,3.35,13781000192.0,0.13461,5484000256.0,Not Available
WDAY,251.19,221.39,29.8,"Workday, Inc.",Technology,Software—Application,65796849664.0,42.73494,7.914382,1.73,Not Available,5.81,7863000064.0,0.19598,636000000.0,Not Available
FAST,69.82,65.66,4.16,Fastenal Company,Industrials,Industrial Distribution,40514707456.0,35.375,11.588861,5.53,0.0219,2.0,7415799808.0,0.15538,1692199936.0,Not Available
KHC,35.2,34.38,0.82,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,42269437952.0,22.410257,0.86442643,3.33,0.0458,1.56,26317000704.0,0.07303,6493000192.0,Not Available
ABNB,117.36,114.77,2.59,"Airbnb, Inc.",Consumer Cyclical,Travel Services,82961244160.0,17.514019,10.393787,1.68,Not Available,7.49,10504999936.0,0.46111,1636999936.0,Not Available
SBUX,99.28,92.04,7.24,Starbucks Corporation,Consumer Cyclical,Restaurants,108843859968.0,26.904764,Not Available,3.56,0.023699999,3.57,36475899904.0,0.11161,7081600000.0,Not Available
INTU,646.37,620.72,25.65,Intuit Inc.,Technology,Software—Application,180785528832.0,62.925854,9.80526,2.38,0.0064,10.25,16284999680.0,0.18195,4496000000.0,Not Available
ODFL,191.26,186.73,4.53,"Old Dominion Freight Line, Inc.",Industrials,Trucking,41567186944.0,34.949547,10.130569,3.35,0.0050999997,5.55,5969596928.0,0.21383,2011958016.0,Not Available
MNST,49.91,46.63,3.28,Monster Beverage Corporation,Consumer Defensive,Beverages—Non-Alcoholic,50129784832.0,32.392403,8.58005,2.35,Not Available,1.58,7385830912.0,0.22841999,2149065984.0,Not Available
AMZN,187.0,171.79,15.21,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2010956955648.0,45.619053,8.500443,1.26,Not Available,4.2,604333998080.0,0.0735,104049000448.0,Not Available
GEHC,87.46,83.87,3.59,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,41227444224.0,26.168116,5.2847857,1.98,0.0013,3.45,19517999104.0,0.08095,3534000128.0,Not Available
INTC,19.36,19.2,0.16,Intel Corporation,Technology,Semiconductors,93387841536.0,91.0,0.8104498,2.66,0.023699999,0.24,55120998400.0,0.017690001,10588999680.0,Not Available
CSGP,77.97,73.81,4.16,"CoStar Group, Inc.",Real Estate,Real Estate Services,31707541504.0,151.70589,4.2819195,8.71,Not Available,0.51,2598899968.0,0.081920005,199900000.0,Not Available
DXCM,68.82,69.39,-0.57,"DexCom, Inc.",Healthcare,Medical Devices,28223203328.0,44.575947,11.593416,2.61,Not Available,1.58,3934799872.0,0.16949,886800000.0,Not Available
TXN,195.98,197.49,-1.51,Texas Instruments Incorporated,Technology,Semiconductors,185622265856.0,35.9823,10.782858,-14.31,0.0251,5.65,16092000256.0,0.33009997,7153999872.0,Not Available
VRSK,269.37,266.53,2.84,"Verisk Analytics, Inc.",Industrials,Consulting Services,37720997888.0,42.717743,87.69868,3.33,0.0058999998,6.2,2775600128.0,0.32033002,1323699968.0,Not Available
MELI,2140.1,1921.23,218.87,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,106654654464.0,76.388885,29.172562,1.38,Not Available,27.54,17107999744.0,0.08177,2919000064.0,Not Available
FTNT,74.49,72.06,2.43,"Fortinet, Inc.",Technology,Software—Infrastructure,58729635840.0,44.90058,203.66048,2.41,Not Available,1.71,5537299968.0,0.23709999,1558700032.0,Not Available
ADSK,259.47,246.1,13.37,"Autodesk, Inc.",Technology,Software—Application,57603399680.0,55.22521,23.22847,2.86,Not Available,4.84,5805000192.0,0.18208,1396000000.0,Not Available
PCAR,95.07,92.96,2.11,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,51850801152.0,10.544776,2.9291916,1.82,0.0121,9.38,35289399296.0,0.14066,6295099904.0,Not Available
PYPL,70.36,65.87,4.49,"PayPal Holdings, Inc.",Financial Services,Credit Services,78474051584.0,18.63107,3.8412652,0.9,Not Available,4.12,31028000768.0,0.14303,5898999808.0,Not Available
MSFT,427.0,404.09,22.91,Microsoft Corporation,Technology,Software—Infrastructure,3235379150848.0,36.887287,12.052332,2.3,0.0076,11.8,245122007040.0,0.35956,129433001984.0,Not Available
ANSS,319.13,307.64,11.49,"ANSYS, Inc.",Technology,Software—Application,27985559552.0,56.48148,5.0088367,5.11,Not Available,5.67,2324645888.0,0.21297,742475008.0,Not Available
CTAS,206.02,191.28,14.74,Cintas Corporation,Industrials,Specialty Business Services,82329149440.0,53.72632,19.157362,3.8,0.0077,3.8,9596614656.0,0.16377,2383016960.0,Not Available
AMAT,183.21,178.29,4.92,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,158417469440.0,21.615297,8.408524,1.48,0.0083,8.89,26854000640.0,0.27743,8204000256.0,Not Available
EA,144.75,144.53,0.22,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,36869111808.0,33.14727,4.999821,1.42,0.0054,4.21,7297999872.0,0.15771,1796999936.0,Not Available
AMD,150.77,136.62,14.15,"Advanced Micro Devices, Inc.",Technology,Semiconductors,252401958912.0,183.47058,4.462982,1.4,Not Available,0.85,23275999232.0,0.05817,4046000128.0,Not Available
KLAC,733.28,715.86,17.42,KLA Corporation,Technology,Semiconductor Equipment & Materials,102008397824.0,38.01854,30.28495,1.5,0.0075,19.96,9812246528.0,0.28147,4035056128.0,Not Available
NXPI,225.14,228.32,-3.18,NXP Semiconductors N.V.,Technology,Semiconductors,59067486208.0,22.38224,6.556209,1.85,0.017,10.36,13109000192.0,0.21214001,4696000000.0,Not Available
BIIB,197.89,198.57,-0.68,Biogen Inc.,Healthcare,Drug Manufacturers—General,29039175680.0,25.39618,1.8280852,3.46,Not Available,7.85,9671999488.0,0.11979,2728999936.0,Not Available
NVDA,119.14,105.59,13.55,NVIDIA Corporation,Technology,Semiconductors,2845480058880.0,54.46009,48.986485,0.79,0.00029999999,2.13,96307003392.0,0.55041003,61184000000.0,Not Available
ROP,551.31,528.36,22.95,"Roper Technologies, Inc.",Technology,Software—Application,59821326336.0,41.83208,3.297933,3.85,0.0053,13.34,6574400000.0,0.22136,2667399936.0,Not Available
IDXX,497.04,471.94,25.1,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,41707692032.0,51.28947,26.447807,4.67,Not Available,9.88,3784801024.0,0.22343001,1265662976.0,Not Available
EXC,39.86,37.33,2.53,Exelon Corporation,Utilities,Utilities—Regulated Electric,40290136064.0,16.237904,1.5406098,3.82,0.0387,2.48,22749999104.0,0.10646,7094000128.0,Not Available
AZN,78.96,79.87,-0.91,AstraZeneca PLC,Healthcare,Drug Manufacturers—General,243486687232.0,38.234146,3.0746899,1.2,0.0188,2.05,49132998656.0,0.13107,16972999680.0,Not Available
MRVL,74.3,64.81,9.49,"Marvell Technology, Inc.",Technology,Semiconductors,63986196480.0,Not Available,4.5045433,2.73,0.0032,-1.09,5278900224.0,-0.18297,996499968.0,Not Available
CMCSA,39.31,38.82,0.49,Comcast Corporation,Communication Services,Telecom Services,155325972480.0,10.667553,1.8708022,1.3,0.0309,3.76,121113001984.0,0.1246,37513998336.0,Not Available
BKR,33.29,33.18,0.11,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,36055138304.0,18.482052,2.2977366,0.45,0.0231,1.95,27032999936.0,0.07369,4104999936.0,Not Available
FANG,170.86,171.44,-0.58,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,53348302848.0,9.402597,1.8506023,1.37,0.0592,19.25,8846000128.0,0.3934,6733000192.0,Not Available
MAR,230.7,218.21,12.49,"Marriott International, Inc.",Consumer Cyclical,Lodging,68801404928.0,24.439,Not Available,4.66,0.010299999,10.0,6469000192.0,0.45386,4272999936.0,Not Available
LIN,467.34,452.56,14.78,Linde plc,Basic Materials,Specialty Chemicals,225338441728.0,35.914,5.902121,3.17,0.0117999995,13.14,32824000512.0,0.19492,12398000128.0,Not Available
LULU,260.14,243.69,16.45,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,32242466816.0,20.925098,8.05923,2.2,Not Available,12.55,9989289984.0,0.16343,2699964928.0,Not Available
TTD,104.5,98.99,5.51,"The Trade Desk, Inc.",Technology,Software—Application,53832708096.0,219.02,22.380953,2.6,Not Available,0.5,2174865920.0,0.1165,375175008.0,Not Available
PANW,345.16,336.68,8.48,"Palo Alto Networks, Inc.",Technology,Software—Infrastructure,110743068672.0,45.900135,21.388504,3.5,Not Available,7.41,8027500032.0,0.3211,1094400000.0,Not Available
NFLX,686.8,653.37,33.43,"Netflix, Inc.",Communication Services,Entertainment,300857556992.0,43.841778,13.605629,1.43,Not Available,15.99,36304244736.0,0.19543,8993561600.0,Not Available
MRNA,69.68,71.49,-1.81,"Moderna, Inc.",Healthcare,Biotechnology,25250973696.0,Not Available,2.1537707,0.14,Not Available,-15.35,5049999872.0,-1.16178,-4107000064.0,Not Available
TSLA,229.81,205.84,23.97,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,761122979840.0,66.92416,11.448823,72.78,Not Available,3.56,95317999616.0,0.12996,12177999872.0,Not Available
GOOGL,154.69,150.51,4.18,Alphabet Inc.,Communication Services,Internet Content & Information,2019943776256.0,23.470589,6.70231,1.03,0.0049,6.97,328284012544.0,0.26702,115478003712.0,Not Available
PAYX,134.19,126.0,8.19,"Paychex, Inc.",Technology,Software—Application,47939219456.0,28.47436,12.625296,3.73,0.0294,4.68,5278300160.0,0.32025,2350599936.0,Not Available
ILMN,126.25,121.35,4.9,"Illumina, Inc.",Healthcare,Diagnostics & Research,20900159488.0,Not Available,14.527738,0.43,Not Available,-18.71,4429000192.0,-0.68728995,635000000.0,Not Available
META,525.6,504.05,21.55,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1420114395136.0,28.68421,9.070417,1.93,0.0036000002,19.57,149784002560.0,0.34339002,74774003712.0,Not Available
CRWD,257.1,249.41,7.69,"CrowdStrike Holdings, Inc.",Technology,Software—Infrastructure,73501032448.0,399.80002,25.762524,3.63,Not Available,0.75,3516257024.0,0.0484,187490000.0,Not Available
ORLY,1119.93,1115.23,4.7,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,64331223040.0,28.09144,Not Available,2.44,Not Available,39.48,16283836416.0,0.14569001,3674210048.0,Not Available
SNPS,488.95,474.04,14.91,"Synopsys, Inc.",Technology,Software—Infrastructure,77828530176.0,52.886223,10.095243,2.37,Not Available,9.58,6483438080.0,0.23111999,1652390016.0,Not Available
GOOG,155.54,151.77,3.77,Alphabet Inc.,Communication Services,Internet Content & Information,2019326164992.0,23.621235,6.745329,1.04,0.0049,6.97,328284012544.0,0.26702,115478003712.0,Not Available
AVGO,164.56,140.06,24.5,Broadcom Inc.,Technology,Semiconductors,799136284672.0,134.72441,2.8891778,1.75,0.0127,1.27,46814998528.0,0.108830005,22958000128.0,Not Available
REGN,1164.46,1139.3,25.16,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,126222385152.0,30.493477,4.3802576,2.43,Not Available,37.55,13489099776.0,0.32037997,4519099904.0,Not Available
AMGN,330.06,321.91,8.15,Amgen Inc.,Healthcare,Drug Manufacturers—General,181284061184.0,58.068848,30.590261,3.08,0.026700001,5.81,30933999616.0,0.10118,11566000128.0,Not Available
ADP,278.4,263.71,14.69,"Automatic Data Processing, Inc.",Technology,Software—Application,112727179264.0,30.475195,24.805708,3.03,0.0202,9.07,19202600960.0,0.19539,5581100032.0,Not Available
ON,69.33,68.91,0.42,ON Semiconductor Corporation,Technology,Semiconductors,29800726528.0,16.723558,3.572272,2.28,Not Available,4.16,7796800000.0,0.24837999,2986200064.0,Not Available
QCOM,164.98,159.93,5.05,QUALCOMM Incorporated,Technology,Semiconductors,188176875520.0,21.573435,7.641364,1.57,0.0201,7.83,37348999168.0,0.23326,11564999680.0,Not Available
DASH,130.19,124.19,6.0,"DoorDash, Inc.",Communication Services,Internet Content & Information,57500508160.0,Not Available,8.059529,315.61,Not Available,-1.02,9610000384.0,-0.04235,-129000000.0,Not Available
ROST,152.68,142.73,9.95,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,51194191872.0,24.928917,9.987702,2.53,0.0095,6.19,21092935680.0,0.09824,2983800064.0,Not Available
CSX,33.45,33.38,0.07,CSX Corporation,Industrials,Railroads,67720187904.0,18.983696,5.3680654,1.78,0.0138,1.84,14634000384.0,0.246,7084000256.0,Not Available
TEAM,165.69,145.9,19.79,Atlassian Corporation,Technology,Software—Application,42405367808.0,Not Available,41.140263,1.43,Not Available,-1.16,4358602752.0,-0.06895,-38339000.0,Not Available
DDOG,109.63,108.26,1.37,"Datadog, Inc.",Technology,Software—Application,38691565568.0,244.17021,16.054842,4.67,Not Available,0.47,2393716992.0,0.06813,89060000.0,Not Available
HON,204.67,197.85,6.82,Honeywell International Inc.,Industrials,Conglomerates,132110598144.0,23.21347,7.795369,2.37,0.0212,8.76,37333999616.0,0.15493,9048000512.0,Not Available
TTWO,153.61,146.55,7.06,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,26078605312.0,Not Available,4.3505464,0.94,Not Available,-21.6,5403100160.0,-0.70334,487800000.0,Not Available
ARM,139.18,119.55,19.63,Arm Holdings plc,Technology,Semiconductors,145567186944.0,338.7805,25.703182,2.87,Not Available,0.41,3496999936.0,0.12125,297000000.0,Not Available
AAPL,222.77,221.08,1.69,Apple Inc.,Technology,Consumer Electronics,3469575716864.0,34.733635,52.076675,3.08,0.0044,6.57,385603010560.0,0.26441,131781001216.0,Not Available
CEG,189.93,175.47,14.46,Constellation Energy Corporation,Utilities,Utilities—Renewable,79729434624.0,33.906914,6.9901576,1.77,0.0055,7.52,23544000512.0,0.10155,5478000128.0,Not Available
DLTR,67.89,67.14,0.75,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,15421376512.0,Not Available,2.0896697,1.92,Not Available,-4.67,30966300672.0,-0.0344,2604699904.0,Not Available
TMUS,202.41,194.1,8.31,"T-Mobile US, Inc.",Communication Services,Telecom Services,232702607360.0,24.992481,3.7151427,0.88,0.0176,7.98,79095996416.0,0.119540006,29938999296.0,Not Available
CTSH,76.31,74.63,1.68,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,37491568640.0,17.113121,2.7049062,2.6,0.016,4.42,19264999424.0,0.11394,3459000064.0,Not Available
MU,87.21,88.6,-1.39,"Micron Technology, Inc.",Technology,Semiconductors,100793548800.0,Not Available,2.2794526,-28.15,0.0050999997,-1.41,21371000832.0,-0.07201,5989000192.0,Not Available
AEP,102.99,97.27,5.72,"American Electric Power Company, Inc.",Utilities,Utilities—Regulated Electric,54356058112.0,20.348606,2.0791776,2.73,0.0346,5.02,19523799040.0,0.13488,7350900224.0,Not Available
CDW,218.64,213.97,4.67,CDW Corporation,Technology,Information Technology Services,30094673920.0,27.918217,13.839917,2.9,0.0109,8.07,20942899200.0,0.05294,1987399936.0,Not Available
ASML,800.17,769.4,30.77,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,326849757184.0,41.746986,21.256214,1.62,0.0084,19.05,25442799616.0,0.26503,8547100160.0,Not Available
LRCX,747.78,747.33,0.45,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,100418822144.0,27.244186,11.804788,2.0,0.0117,28.38,14905385984.0,0.2568,4685173760.0,Not Available
