Symbol,Current Stock Price,Predicted Short Position,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
INTC,$24.05,$22.12,"$1.93
",Intel Corporation,Technology,Semiconductors,97797267456.0,Not Available,0.98164415,Not Available,0.0224,-3.74,54246998016.0,-0.29423,10439000064.0,Not Available
CSGP,$81.34,$73.90,"$7.44
","CoStar Group, Inc.",Real Estate,Real Estate Services,32706609152.0,189.95238,4.3612313,Not Available,Not Available,0.42,2666899968.0,0.06577,170300000.0,Not Available
DXCM,$77.99,$71.65,"$6.34
","DexCom, Inc.",Healthcare,Medical Devices,31239790592.0,48.47273,15.784489,Not Available,Not Available,1.65,3953999872.0,0.17218,840400000.0,Not Available
TXN,$201.03,$159.33,"$41.70
",Texas Instruments Incorporated,Technology,Semiconductors,181179990016.0,36.848797,10.48986,Not Available,0.027,5.39,15710999552.0,0.31601998,6896999936.0,Not Available
VRSK,$294.21,$225.70,"$68.51
","Verisk Analytics, Inc.",Industrials,Consulting Services,40614404096.0,44.453632,135.73148,Not Available,0.0053,6.47,2823300096.0,0.32650003,1363000064.0,Not Available
MELI,$1985.17,$1432.28,"$552.89
","MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,98146369536.0,68.84513,24.524317,Not Available,Not Available,28.12,18492999680.0,0.07771,2712999936.0,Not Available
FTNT,$95.05,$56.19,"$38.86
","Fortinet, Inc.",Technology,Software - Infrastructure,72690401280.0,47.65829,79.96627,Not Available,Not Available,1.99,5710799872.0,0.26790002,1727900032.0,Not Available
ADSK,$291.90,$211.95,"$79.95
","Autodesk, Inc.",Technology,Software - Application,63881179136.0,58.813496,34.19705,Not Available,Not Available,5.04,5805000192.0,0.18208,1396000000.0,Not Available
PCAR,$117.00,$94.28,"$22.72
",PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,61138739200.0,13.043625,3.275562,Not Available,0.010299999,8.94,34832900096.0,0.13514,5908100096.0,Not Available
PYPL,$86.77,$58.94,"$27.83
","PayPal Holdings, Inc.",Financial Services,Credit Services,85772312576.0,20.467705,4.266231,Not Available,Not Available,4.18,31456999424.0,0.14076,6120999936.0,Not Available
MSFT,$423.46,$375.90,"$47.56
",Microsoft Corporation,Technology,Software - Infrastructure,3203169255424.0,35.57638,11.134572,Not Available,0.0077,12.11,254189993984.0,0.35608003,136551997440.0,Not Available
ANSS,$351.10,$287.62,"$63.48
","ANSYS, Inc.",Technology,Software - Application,30411612160.0,53.666668,5.2159047,Not Available,Not Available,6.48,2467742976.0,0.23008,836108992.0,Not Available
CTAS,$225.79,$146.38,"$79.41
",Cintas Corporation,Industrials,Specialty Business Services,89615056896.0,56.112373,22.282892,Not Available,0.0069999998,3.96,9755872256.0,0.16795,2450383872.0,Not Available
AMAT,$174.71,$155.73,"$18.98
","Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,150346547200.0,21.181185,7.9801335,Not Available,0.0086,8.61,26854000640.0,0.27743,8204000256.0,Not Available
EA,$163.67,$129.28,"$34.39
",Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,43762872320.0,42.784615,5.927321,Not Available,0.0046,3.9,7408999936.0,0.14118,1890000000.0,Not Available
AMD,$137.18,$126.41,"$10.77
","Advanced Micro Devices, Inc.",Technology,Semiconductors,230349783040.0,124.51317,4.0427504,Not Available,Not Available,1.14,24295000064.0,0.07516,4479000064.0,Not Available
KLAC,$647.03,$565.13,"$81.90
",KLA Corporation,Technology,Semiconductor Equipment & Materials,88753774592.0,30.284348,24.9438,Not Available,0.010199999,21.91,10256832512.0,0.28921,4249192960.0,Not Available
NXPI,$229.37,$208.89,"$20.48
",NXP Semiconductors N.V.,Technology,Semiconductors,58276700160.0,21.90019,6.1919746,Not Available,0.0174,10.47,12924999680.0,0.20983,4640000000.0,Not Available
BIIB,$160.63,$166.80,"$-6.17
",Biogen Inc.,Healthcare,Drug Manufacturers - General,23679338496.0,14.705882,1.4473004,Not Available,Not Available,11.05,9607499776.0,0.16812,2884999936.0,Not Available
NVDA,$138.25,$55.70,"$82.55
",NVIDIA Corporation,Technology,Semiconductors,3399212072960.0,54.64567,79.58716,Not Available,0.00029999999,2.54,96307003392.0,0.55041003,61184000000.0,Not Available
ROP,$566.44,$517.39,"$49.05
","Roper Technologies, Inc.",Technology,Software - Application,60344729600.0,41.41023,3.2591562,Not Available,0.0058,13.59,6775600128.0,0.21784,2732699904.0,Not Available
IDXX,$421.75,$423.91,"$-2.16
","IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,35515445248.0,41.946323,21.990824,Not Available,Not Available,10.34,3844816896.0,0.22530001,1299420032.0,Not Available
EXC,$39.56,$34.36,"$5.20
",Exelon Corporation,Utilities,Utilities - Regulated Electric,38680932352.0,15.841563,1.4529705,Not Available,0.0396,2.43,22923999232.0,0.106000006,7148000256.0,Not Available
AZN,$67.62,$63.87,"$3.75
",AstraZeneca PLC,Healthcare,Drug Manufacturers - General,213477310464.0,32.944714,2.6084888,Not Available,0.0222,2.08,51206000640.0,0.12684,18390999040.0,Not Available
MRVL,$92.69,$54.79,"$37.90
","Marvell Technology, Inc.",Technology,Semiconductors,84428513280.0,Not Available,5.943655,Not Available,0.0025,-1.11,5278900224.0,-0.18297,996499968.0,Not Available
CMCSA,$43.19,$37.89,"$5.30
",Comcast Corporation,Communication Services,Telecom Services,164560355328.0,11.591644,1.9224408,Not Available,0.0286,3.71,123069997056.0,0.11924,37285998592.0,Not Available
BKR,$43.95,$30.15,"$13.80
",Baker Hughes Company,Energy,Oil & Gas Equipment & Services,43093856256.0,19.529148,2.6606793,Not Available,0.019199999,2.23,27299999744.0,0.082049996,4336999936.0,Not Available
FANG,$177.59,$152.98,"$24.61
","Diamondback Energy, Inc.",Energy,Oil & Gas E&P,51073253376.0,10.08737,1.3680624,Not Available,0.0471,17.34,9157000192.0,0.35208,6817999872.0,Not Available
MAR,$289.09,$211.05,"$78.04
","Marriott International, Inc.",Consumer Cyclical,Lodging,79049441280.0,29.755228,Not Available,Not Available,0.0088,9.56,6569999872.0,0.42131,4112999936.0,Not Available
LIN,$460.99,$407.33,"$53.66
",Linde plc,Basic Materials,Specialty Chemicals,217863733248.0,34.68878,5.5615726,Not Available,0.0121,13.19,33024999424.0,0.19328,12581000192.0,Not Available
LULU,$320.66,$261.19,"$59.47
",Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,41361117184.0,26.034004,10.3385,Not Available,Not Available,12.94,9989289984.0,0.16343,2699964928.0,Not Available
TTD,$128.55,$70.34,"$58.21
","The Trade Desk, Inc.",Technology,Software - Application,67597430784.0,220.89516,25.738583,Not Available,Not Available,0.62,2309616128.0,0.13343,446203008.0,Not Available
PANW,$387.82,$276.01,"$111.81
","Palo Alto Networks, Inc.",Technology,Software - Infrastructure,127897452544.0,50.428513,24.51342,Not Available,Not Available,7.73,8027500032.0,0.3211,1094400000.0,Not Available
NFLX,$886.81,$489.87,"$396.94
","Netflix, Inc.",Communication Services,Entertainment,382711693312.0,50.611645,16.844204,Not Available,Not Available,17.69,37587279872.0,0.20701,9976898560.0,Not Available
MRNA,$43.06,$49.44,"$-6.38
","Moderna, Inc.",Healthcare,Biotechnology,16374004736.0,Not Available,1.3735111,Not Available,Not Available,-5.81,5080999936.0,-0.43771,-2361999872.0,Not Available
TSLA,$345.16,$163.09,"$182.07
","Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1129149497344.0,96.635544,16.131037,Not Available,Not Available,3.64,97150001152.0,0.13075,13244000256.0,Not Available
GOOGL,$168.95,$135.34,"$33.61
",Alphabet Inc.,Communication Services,Internet Content & Information,2111144329216.0,22.753641,6.7071404,Not Available,0.0047,7.55,339859013632.0,0.27738002,123469996032.0,Not Available
PAYX,$146.27,$119.34,"$26.93
","Paychex, Inc.",Technology,Software - Application,51941916672.0,30.838463,13.489485,Not Available,0.027,4.68,5310799872.0,0.31983998,2358799872.0,Not Available
ILMN,$144.15,$98.49,"$45.66
","Illumina, Inc.",Healthcare,Diagnostics & Research,22395113472.0,Not Available,10.499293,Not Available,Not Available,-9.97,4390000128.0,-0.36105,730000000.0,Not Available
META,$574.32,$344.84,"$229.48
","Meta Platforms, Inc.",Communication Services,Internet Content & Information,1528957370368.0,28.622402,9.291106,Not Available,0.0034,21.16,156226994176.0,0.35549998,79208996864.0,Not Available
CRWD,$345.97,$228.26,"$117.71
","CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,85497012224.0,667.5192,36.438168,Not Available,Not Available,0.52,3516257024.0,0.0484,187490000.0,Not Available
ORLY,$1243.22,$952.96,"$290.26
","O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,71624605696.0,30.709589,Not Available,Not Available,Not Available,40.4,16444893184.0,0.14522,3685244928.0,Not Available
SNPS,$558.49,$480.29,"$78.20
","Synopsys, Inc.",Technology,Software - Infrastructure,87097597952.0,58.573345,11.297547,Not Available,Not Available,9.68,6483438080.0,0.23111999,1652390016.0,Not Available
GOOG,$170.49,$136.89,"$33.60
",Alphabet Inc.,Communication Services,Internet Content & Information,2112201293824.0,22.993368,6.768828,Not Available,0.0046,7.54,339859013632.0,0.27738002,123469996032.0,Not Available
AVGO,$162.08,$99.92,"$62.16
",Broadcom Inc.,Technology,Semiconductors,778025238528.0,135.4309,2.8128536,Not Available,0.0127,1.23,46814998528.0,0.108830005,22958000128.0,Not Available
REGN,$750.22,$784.87,"$-34.65
","Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,83185082368.0,18.737251,2.7826238,Not Available,Not Available,40.4,13847100416.0,0.33613998,4598000128.0,Not Available
AMGN,$282.87,$270.23,"$12.64
",Amgen Inc.,Healthcare,Drug Manufacturers - General,150100705280.0,35.617344,19.940018,Not Available,0.0324,7.84,32533999616.0,0.13002,12247000064.0,Not Available
ADP,$306.93,$237.14,"$69.79
","Automatic Data Processing, Inc.",Technology,Software - Application,123646894080.0,32.42094,23.131334,Not Available,0.0201,9.36,19522899968.0,0.19715,5733100032.0,Not Available
ON,$71.12,$63.24,"$7.88
",ON Semiconductor Corporation,Technology,Semiconductors,30478548992.0,17.761786,3.549363,Not Available,Not Available,4.03,7377900032.0,0.23795,2716600064.0,Not Available
QCOM,$158.53,$136.76,"$21.77
",QUALCOMM Incorporated,Technology,Semiconductors,180848705536.0,18.228455,6.8957086,Not Available,0.0209,8.93,38961999872.0,0.2603,11959000064.0,Not Available
DASH,$180.48,$97.28,"$83.20
","DoorDash, Inc.",Communication Services,Internet Content & Information,73118007296.0,Not Available,9.654983,Not Available,Not Available,-0.42,10151999488.0,-0.01694,84000000.0,Not Available
ROST,$154.87,$130.46,"$24.41
","Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,51121201152.0,24.266142,10.602036,Not Available,0.010299999,6.35,21092935680.0,0.09824,2983800064.0,Not Available
CSX,$36.55,$32.39,"$4.16
",CSX Corporation,Industrials,Railroads,69297774592.0,19.114363,5.3594337,Not Available,0.013200001,1.88,14680999936.0,0.24971001,7191000064.0,Not Available
TEAM,$263.58,$149.24,"$114.34
",Atlassian Corporation,Technology,Software - Application,69325963264.0,Not Available,67.45945,Not Available,Not Available,-1.52,4568608768.0,-0.085889995,-43705000.0,Not Available
DDOG,$152.75,$110.83,"$41.92
","Datadog, Inc.",Technology,Software - Application,52755582976.0,282.34543,19.998713,Not Available,Not Available,0.55,2536197120.0,0.07576,115851000.0,Not Available
HON,$232.93,$193.33,"$39.60
",Honeywell International Inc.,Industrials,Conglomerates,146240536576.0,25.940022,8.401823,Not Available,0.0197,8.67,37850001408.0,0.15015,9164000256.0,Not Available
TTWO,$188.38,$140.08,"$48.30
","Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,32947628032.0,Not Available,5.677966,Not Available,Not Available,-21.2,5456999936.0,-0.66375,165600000.0,Not Available
ARM,$134.29,$73.54,"$60.75
",Arm Holdings plc,Technology,Semiconductors,148401192960.0,235.33331,24.685314,Not Available,Not Available,0.6,3535000064.0,0.18133,520000000.0,Not Available
AAPL,$237.33,$172.44,"$64.89
",Apple Inc.,Technology,Consumer Electronics,3645022404608.0,39.59604,64.01378,Not Available,0.0042,6.09,391034994688.0,0.23971,134660997120.0,Not Available
CEG,$256.56,$128.06,"$128.50
",Constellation Energy Corporation,Utilities,Utilities - Renewable,77564649472.0,27.372515,6.175174,Not Available,0.0056,9.06,23982000128.0,0.11926,5997000192.0,Not Available
DLTR,$66.40,$70.13,"$-3.73
","Dollar Tree, Inc.",Consumer Defensive,Discount Stores,15723440128.0,Not Available,2.1306007,Not Available,Not Available,-4.81,30966300672.0,-0.0344,2604699904.0,Not Available
TMUS,$246.94,$155.11,"$91.83
","T-Mobile US, Inc.",Communication Services,Telecom Services,284958326784.0,28.03082,4.45095,Not Available,0.014400001,8.76,80005996544.0,0.12964,30663999488.0,Not Available
CTSH,$80.49,$66.15,"$14.34
",Cognizant Technology Solutions Corporation,Technology,Information Technology Services,39705587712.0,17.716814,2.7483957,Not Available,0.0148,4.52,19412000768.0,0.116009995,3470000128.0,Not Available
MU,$97.95,$81.99,"$15.96
","Micron Technology, Inc.",Technology,Semiconductors,112096378880.0,143.745,2.4725764,Not Available,0.0047,0.7,25110999040.0,0.03098,8944000000.0,Not Available
AEP,$99.86,$78.84,"$21.02
","American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,52175392768.0,19.752016,1.9598312,Not Available,0.0379,4.96,19602200576.0,0.13464,7258299904.0,Not Available
CDW,$175.93,$182.65,"$-6.72
",CDW Corporation,Technology,Information Technology Services,23635703808.0,21.682152,10.056132,Not Available,0.0138,8.18,20831199232.0,0.05327,1996300032.0,Not Available
ASML,$686.61,$704.78,"$-18.17
",ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,279647780864.0,38.29887,17.31407,Not Available,0.0095,18.57,26237100032.0,0.26399,8865399808.0,Not Available
APP,$336.75,$66.59,"$270.16
",AppLovin Corporation,Technology,Software - Application,123736096768.0,111.73028,131.82335,Not Available,Not Available,3.3,4289730048.0,0.26874,1975993984.0,Not Available
LRCX,$73.88,$74.58,"$-0.70
",Lam Research Corporation,Technology,Semiconductor Equipment & Materials,100927971328.0,25.385115,11.962788,Not Available,0.0117,3.09,15591300096.0,0.2602,4920197120.0,Not Available
CSCO,$59.21,$46.16,"$13.05
","Cisco Systems, Inc.",Technology,Communication Equipment,236217499648.0,25.454937,5.226472,Not Available,0.0269,2.33,52976001024.0,0.17731,13752000512.0,Not Available
UAL,$96.83,$44.42,"$52.41
","United Airlines Holdings, Inc.",Industrials,Airlines,31604983808.0,11.454111,2.7631617,Not Available,Not Available,8.39,55993999360.0,0.04936,7482999808.0,Not Available
TROW,$123.84,$100.31,"$23.53
","T. Rowe Price Group, Inc.",Financial Services,Asset Management,27111176192.0,13.381031,2.6449997,Not Available,0.0401,9.12,6911099904.0,0.30354,2648399872.0,Not Available
ISRG,$542.00,$333.64,"$208.36
","Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,191342936064.0,86.091354,12.2793665,Not Available,Not Available,6.24,7866899968.0,0.28513,2505100032.0,Not Available
NVR,$9235.58,$6488.90,"$2746.68
","NVR, Inc.",Consumer Cyclical,Residential Construction,28213921792.0,18.855316,6.6075077,Not Available,Not Available,488.38,10281399296.0,0.15898,2071504000.0,Not Available
TPR,$62.28,$33.75,"$28.53
","Tapestry, Inc.",Consumer Cyclical,Luxury Goods,15054125056.0,18.724636,5.047663,Not Available,0.0217,3.45,6665500160.0,0.12116,1439500032.0,Not Available
DVN,$37.95,$39.39,"$-1.44
",Devon Energy Corporation,Energy,Oil & Gas E&P,24653455360.0,6.95,1.7296524,Not Available,0.038599998,5.4,14529000448.0,0.23429,7622000128.0,Not Available
CE,$73.21,$82.21,"$-9.00
",Celanese Corporation,Basic Materials,Chemicals,7901071360.0,7.199203,1.0857581,Not Available,0.0377,10.04,10478999552.0,0.10402001,1851000064.0,Not Available
BA,$155.44,$150.72,"$4.72
",The Boeing Company,Industrials,Aerospace & Defense,116371292160.0,Not Available,Not Available,Not Available,Not Available,-12.95,73292996608.0,-0.10880999,-3991000064.0,Not Available
VRTX,$468.13,$363.95,"$104.18
",Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,119014449152.0,Not Available,7.6202884,Not Available,Not Available,-1.91,10625800192.0,-0.045149997,4446600192.0,Not Available
GILD,$92.58,$66.62,"$25.96
","Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,117386166272.0,1046.5555,6.3526,Not Available,0.0328,0.09,28298999808.0,0.00445,13948999680.0,Not Available
EQIX,$981.48,$721.38,"$260.10
","Equinix, Inc.",Real Estate,REIT - Specialty,92943220736.0,86.78018,6.840072,Not Available,0.0177,11.1,8401490944.0,0.12571,3352907008.0,Not Available
TER,$110.00,$98.71,"$11.29
","Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,18649212928.0,36.46815,6.429173,Not Available,0.0042,3.14,2737594880.0,0.18745,640716992.0,Not Available
PODD,$266.78,$174.23,"$92.55
",Insulet Corporation,Healthcare,Medical Devices,18826864640.0,45.802044,16.8392,Not Available,Not Available,5.86,1983900032.0,0.21215999,410600000.0,Not Available
MDT,$86.54,$78.36,"$8.18
",Medtronic plc,Healthcare,Medical Devices,109943545856.0,26.220182,2.23911,Not Available,0.032,3.27,32576999424.0,0.12055001,9013000192.0,Not Available
V,$315.08,$258.38,"$56.70
",Visa Inc.,Financial Services,Credit Services,607662768128.0,32.305557,15.6402855,Not Available,0.0075,9.72,35925999616.0,0.54955,24973000704.0,Not Available
QRVO,$69.05,$71.79,"$-2.74
","Qorvo, Inc.",Technology,Semiconductors,6658933760.0,Not Available,1.9555019,Not Available,Not Available,-1.45,3948028928.0,-0.03577,673129984.0,Not Available
A,$137.97,$127.68,"$10.29
","Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,39549140992.0,31.374435,6.7547493,Not Available,0.0074,4.42,6496999936.0,0.21747999,1564000000.0,Not Available
FOX,$44.73,$27.93,"$16.80
",Fox Corporation,Communication Services,Entertainment,20655679488.0,10.779951,1.7901661,Not Available,0.012200001,4.09,14337000448.0,0.13399,3025999872.0,Not Available
MO,$57.74,$41.77,"$15.97
","Altria Group, Inc.",Consumer Defensive,Tobacco,96610951168.0,9.629054,Not Available,Not Available,0.0714,5.92,20362000384.0,0.50511,12216000512.0,Not Available
CTRA,$26.72,$23.22,"$3.50
",Coterra Energy Inc.,Energy,Oil & Gas E&P,19188768768.0,15.787879,1.4710034,Not Available,0.0322,1.65,5498999808.0,0.22549999,3448999936.0,Not Available
SWKS,$87.59,$86.95,"$0.64
","Skyworks Solutions, Inc.",Technology,Semiconductors,14002681856.0,23.728996,2.2081,Not Available,0.0335,3.69,4371800064.0,0.17848,1136199936.0,Not Available
ENPH,$71.35,$67.30,"$4.05
","Enphase Energy, Inc.",Technology,Solar,10038451200.0,161.52174,10.775925,Not Available,Not Available,0.46,1250240000.0,0.04912,102900000.0,Not Available
MCHP,$68.17,$66.49,"$1.68
",Microchip Technology Incorporated,Technology,Semiconductors,36237434880.0,46.86111,5.773937,Not Available,0.025899999,1.44,5496600064.0,0.14220001,1950800000.0,Not Available
CDNS,$306.81,$254.81,"$52.00
","Cadence Design Systems, Inc.",Technology,Software - Application,84741783552.0,81.52507,18.569626,Not Available,Not Available,3.79,4353906176.0,0.23868,1450493056.0,Not Available
MSCI,$609.63,$464.62,"$145.01
",MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,47842541568.0,40.109066,Not Available,Not Available,0.0105,15.22,2802725120.0,0.43065,1622592000.0,Not Available
CHTR,$396.97,$269.87,"$127.10
","Charter Communications, Inc.",Communication Services,Telecom Services,55995617280.0,12.3417425,3.9719322,Not Available,Not Available,31.91,54869999616.0,0.085200004,21500000256.0,Not Available
EIX,$87.75,$66.83,"$20.92
",Edison International,Utilities,Utilities - Regulated Electric,33089712128.0,24.991228,2.360528,Not Available,0.0364,3.42,17321000960.0,0.07632,6444000256.0,Not Available
KDP,$32.65,$29.84,"$2.81
",Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,43955761152.0,19.521084,1.7603757,Not Available,0.028299998,1.66,15148000256.0,0.15038,4230000128.0,Not Available
BBY,$90.00,$72.75,"$17.25
","Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,19299481600.0,15.39041,6.341188,Not Available,0.0404,5.84,42537000960.0,0.02962,2673999872.0,Not Available
