Symbol,Current Stock Price,Predicted Short Position,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
TXN,$201.03,$159.33,"$41.70
",Texas Instruments Incorporated,Technology,Semiconductors,174881128448.0,35.56772,10.125172,Not Available,0.028399998,5.39,15710999552.0,0.31601998,6896999936.0,Not Available
VRSK,$294.21,$225.70,"$68.51
","Verisk Analytics, Inc.",Industrials,Consulting Services,40287498240.0,44.027775,134.63898,Not Available,0.0055,6.48,2823300096.0,0.32650003,1363000064.0,Not Available
MELI,$1985.17,$1432.28,"$552.89
","MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,96217071616.0,66.22195,23.69893,Not Available,Not Available,28.25,18492999680.0,0.07771,2712999936.0,Not Available
FTNT,$95.05,$56.19,"$38.86
","Fortinet, Inc.",Technology,Software - Infrastructure,75572264960.0,49.547737,83.1366,Not Available,Not Available,1.99,5710799872.0,0.26790002,1727900032.0,Not Available
ADSK,$291.90,$211.95,"$79.95
","Autodesk, Inc.",Technology,Software - Application,66665549824.0,61.376984,35.687584,Not Available,Not Available,5.04,5805000192.0,0.18208,1396000000.0,Not Available
PCAR,$117.00,$94.28,"$22.72
",PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,60740206592.0,12.603353,3.1685395,Not Available,0.0117,8.95,34832900096.0,0.13514,5908100096.0,Not Available
PYPL,$86.77,$58.94,"$27.83
","PayPal Holdings, Inc.",Financial Services,Credit Services,90980589568.0,21.387562,4.4579635,Not Available,Not Available,4.18,31456999424.0,0.14076,6120999936.0,Not Available
MSFT,$423.46,$375.90,"$47.56
",Microsoft Corporation,Technology,Software - Infrastructure,3342424604672.0,37.18445,11.618639,Not Available,0.0074,12.09,254189993984.0,0.35608003,136551997440.0,Not Available
ANSS,$351.10,$287.62,"$63.48
","ANSYS, Inc.",Technology,Software - Application,30082779136.0,52.63174,5.1232133,Not Available,Not Available,6.49,2467742976.0,0.23008,836108992.0,Not Available
CTAS,$225.79,$146.38,"$79.41
",Cintas Corporation,Industrials,Specialty Business Services,85334032384.0,53.431816,21.21841,Not Available,0.0074,3.96,9755872256.0,0.16795,2450383872.0,Not Available
AMAT,$174.71,$155.73,"$18.98
","Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,141080346624.0,19.637632,7.398591,Not Available,0.0086,8.61,26854000640.0,0.27743,8204000256.0,Not Available
EA,$163.67,$129.28,"$34.39
",Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,42991722496.0,41.689743,5.7756386,Not Available,0.0047,3.9,7408999936.0,0.14118,1890000000.0,Not Available
AMD,$137.18,$126.41,"$10.77
","Advanced Micro Devices, Inc.",Technology,Semiconductors,211939000320.0,114.56141,3.7196321,Not Available,Not Available,1.14,24295000064.0,0.07516,4479000064.0,Not Available
KLAC,$647.03,$565.13,"$81.90
",KLA Corporation,Technology,Semiconductor Equipment & Materials,86788595712.0,29.579138,24.307356,Not Available,0.0105,21.86,10256832512.0,0.28921,4249192960.0,Not Available
NXPI,$229.37,$208.89,"$20.48
",NXP Semiconductors N.V.,Technology,Semiconductors,55873654784.0,20.795605,5.8796687,Not Available,0.0186,10.47,12924999680.0,0.20983,4640000000.0,Not Available
BIIB,$160.63,$166.80,"$-6.17
",Biogen Inc.,Healthcare,Drug Manufacturers - General,22945036288.0,14.044304,1.3834411,Not Available,Not Available,11.06,9607499776.0,0.16812,2884999936.0,Not Available
NVDA,$138.25,$55.70,"$82.55
",NVIDIA Corporation,Technology,Semiconductors,3411704020992.0,54.284584,78.75,Not Available,0.00029999999,2.53,96307003392.0,0.55041003,61184000000.0,Not Available
ROP,$566.44,$517.39,"$49.05
","Roper Technologies, Inc.",Technology,Software - Application,59017900032.0,40.325977,3.1738212,Not Available,0.006,13.59,6775600128.0,0.21784,2732699904.0,Not Available
IDXX,$421.75,$423.91,"$-2.16
","IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,35798355968.0,42.19884,22.165998,Not Available,Not Available,10.36,3844816896.0,0.22530001,1299420032.0,Not Available
EXC,$39.56,$34.36,"$5.20
",Exelon Corporation,Utilities,Utilities - Regulated Electric,37007892480.0,15.156379,1.3901261,Not Available,0.041300002,2.43,22923999232.0,0.106000006,7148000256.0,Not Available
AZN,$67.62,$63.87,"$3.75
",AstraZeneca PLC,Healthcare,Drug Manufacturers - General,207757672448.0,32.182693,2.5481539,Not Available,0.0222,2.08,51206000640.0,0.12684,18390999040.0,Not Available
MRVL,$92.69,$54.79,"$37.90
","Marvell Technology, Inc.",Technology,Semiconductors,96359759872.0,Not Available,6.3611693,Not Available,0.0025,-1.7,5278900224.0,-0.18297,996499968.0,Not Available
CMCSA,$43.19,$37.89,"$5.30
",Comcast Corporation,Communication Services,Telecom Services,153600114688.0,10.846361,1.7988378,Not Available,0.0308,3.71,123069997056.0,0.11924,37285998592.0,Not Available
BKR,$43.95,$30.15,"$13.80
",Baker Hughes Company,Energy,Oil & Gas Equipment & Services,42015277056.0,18.982063,2.5861437,Not Available,0.0198,2.23,27299999744.0,0.082049996,4336999936.0,Not Available
FANG,$177.59,$152.98,"$24.61
","Diamondback Energy, Inc.",Energy,Oil & Gas E&P,47857037312.0,9.361223,1.2688493,Not Available,0.0511,17.33,9157000192.0,0.35208,6817999872.0,Not Available
MAR,$289.09,$211.05,"$78.04
","Marriott International, Inc.",Consumer Cyclical,Lodging,81069891584.0,30.397274,Not Available,Not Available,0.0087,9.54,6569999872.0,0.42131,4112999936.0,Not Available
LIN,$460.99,$407.33,"$53.66
",Linde plc,Basic Materials,Specialty Chemicals,209761730560.0,33.219696,5.3300757,Not Available,0.0127,13.2,33024999424.0,0.19328,12581000192.0,Not Available
LULU,$320.66,$261.19,"$59.47
",Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,48682987520.0,28.17149,11.611739,Not Available,Not Available,13.82,9989289984.0,0.16343,2699964928.0,Not Available
TTD,$128.55,$70.34,"$58.21
","The Trade Desk, Inc.",Technology,Software - Application,66188214272.0,218.96722,25.102425,Not Available,Not Available,0.61,2309616128.0,0.13343,446203008.0,Not Available
PANW,$387.82,$276.01,"$111.81
","Palo Alto Networks, Inc.",Technology,Software - Infrastructure,131308896256.0,51.840675,25.167273,Not Available,Not Available,7.72,8027500032.0,0.3211,1094400000.0,Not Available
NFLX,$886.81,$489.87,"$396.94
","Netflix, Inc.",Communication Services,Entertainment,400340189184.0,52.350113,17.41294,Not Available,Not Available,17.68,37587279872.0,0.20701,9976898560.0,Not Available
MRNA,$43.06,$49.44,"$-6.38
","Moderna, Inc.",Healthcare,Biotechnology,16493278208.0,Not Available,1.3822267,Not Available,Not Available,-5.81,5080999936.0,-0.43771,-2361999872.0,Not Available
TSLA,$345.16,$163.09,"$182.07
","Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1363537035264.0,114.86263,19.173622,Not Available,Not Available,3.64,97150001152.0,0.13075,13244000256.0,Not Available
GOOGL,$168.95,$135.34,"$33.61
",Alphabet Inc.,Communication Services,Internet Content & Information,2399135334400.0,25.458887,7.494632,Not Available,0.0042,7.54,339859013632.0,0.27738002,123469996032.0,Not Available
PAYX,$146.27,$119.34,"$26.93
","Paychex, Inc.",Technology,Software - Application,50831929344.0,30.104477,13.19656,Not Available,0.0278,4.69,5310799872.0,0.31983998,2358799872.0,Not Available
ILMN,$144.15,$98.49,"$45.66
","Illumina, Inc.",Healthcare,Diagnostics & Research,23415767040.0,Not Available,10.887797,Not Available,Not Available,-9.97,4390000128.0,-0.36105,730000000.0,Not Available
META,$574.32,$344.84,"$229.48
","Meta Platforms, Inc.",Communication Services,Internet Content & Information,1597191749632.0,29.768286,9.676771,Not Available,0.0032,21.19,156226994176.0,0.35549998,79208996864.0,Not Available
CRWD,$345.97,$228.26,"$117.71
","CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,89403490304.0,716.6667,38.368675,Not Available,Not Available,0.51,3516257024.0,0.0484,187490000.0,Not Available
ORLY,$1243.22,$952.96,"$290.26
","O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,73301819392.0,31.444279,Not Available,Not Available,Not Available,40.38,16444893184.0,0.14522,3685244928.0,Not Available
SNPS,$558.49,$480.29,"$78.20
","Synopsys, Inc.",Technology,Software - Infrastructure,78914404352.0,55.26242,10.1964655,Not Available,Not Available,9.26,6483438080.0,0.23111999,1652390016.0,Not Available
GOOG,$170.49,$136.89,"$33.60
",Alphabet Inc.,Communication Services,Internet Content & Information,2399133761536.0,25.714476,7.559833,Not Available,0.0041,7.53,339859013632.0,0.27738002,123469996032.0,Not Available
AVGO,$162.08,$99.92,"$62.16
",Broadcom Inc.,Technology,Semiconductors,855649157120.0,141.14062,3.050607,Not Available,0.0117,1.28,46814998528.0,0.108830005,22958000128.0,Not Available
REGN,$750.22,$784.87,"$-34.65
","Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,84944797696.0,18.313643,2.7237537,Not Available,Not Available,40.46,13847100416.0,0.33613998,4598000128.0,Not Available
AMGN,$282.87,$270.23,"$12.64
",Amgen Inc.,Healthcare,Drug Manufacturers - General,147316293632.0,34.95663,19.570124,Not Available,0.0347,7.84,32533999616.0,0.13002,12247000064.0,Not Available
ADP,$306.93,$237.14,"$69.79
","Automatic Data Processing, Inc.",Technology,Software - Application,122542768128.0,31.95187,22.772314,Not Available,0.020599999,9.35,19522899968.0,0.19715,5733100032.0,Not Available
ON,$71.12,$63.24,"$7.88
",ON Semiconductor Corporation,Technology,Semiconductors,28941457408.0,16.652605,3.3277137,Not Available,Not Available,4.03,7377900032.0,0.23795,2716600064.0,Not Available
QCOM,$158.53,$136.76,"$21.77
",QUALCOMM Incorporated,Technology,Semiconductors,177570611200.0,17.700226,6.7033806,Not Available,0.0215,8.94,38961999872.0,0.2603,11959000064.0,Not Available
DASH,$180.48,$97.28,"$83.20
","DoorDash, Inc.",Communication Services,Internet Content & Information,73280118784.0,Not Available,9.654983,Not Available,Not Available,-0.42,10151999488.0,-0.01694,84000000.0,Not Available
ROST,$154.87,$130.46,"$24.41
","Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,50769473536.0,24.19497,10.587587,Not Available,0.010299999,6.36,21092935680.0,0.09824,2983800064.0,Not Available
CSX,$36.55,$32.39,"$4.16
",CSX Corporation,Industrials,Railroads,64949186560.0,17.914894,5.023117,Not Available,0.0143,1.88,14680999936.0,0.24971001,7191000064.0,Not Available
TEAM,$263.58,$149.24,"$114.34
",Atlassian Corporation,Technology,Software - Application,71528144896.0,Not Available,70.75012,Not Available,Not Available,-1.51,4568608768.0,-0.085889995,-43705000.0,Not Available
DDOG,$152.75,$110.83,"$41.92
","Datadog, Inc.",Technology,Software - Application,53159833600.0,284.96362,20.18416,Not Available,Not Available,0.55,2536197120.0,0.07576,115851000.0,Not Available
HON,$232.93,$193.33,"$39.60
",Honeywell International Inc.,Industrials,Conglomerates,148945698816.0,26.322544,8.506052,Not Available,0.0199,8.65,37850001408.0,0.15015,9164000256.0,Not Available
TTWO,$188.38,$140.08,"$48.30
","Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,33450031104.0,Not Available,5.7397094,Not Available,Not Available,-21.2,5456999936.0,-0.66375,165600000.0,Not Available
ARM,$134.29,$73.54,"$60.75
",Arm Holdings plc,Technology,Semiconductors,155547992064.0,242.62294,25.874126,Not Available,Not Available,0.61,3535000064.0,0.18133,520000000.0,Not Available
AAPL,$237.33,$172.44,"$64.89
",Apple Inc.,Technology,Consumer Electronics,3748113678336.0,40.782898,65.824265,Not Available,0.004,6.08,391034994688.0,0.23971,134660997120.0,Not Available
CEG,$256.56,$128.06,"$128.50
",Constellation Energy Corporation,Utilities,Utilities - Renewable,74757570560.0,26.381897,5.9516935,Not Available,0.0058999998,9.06,23982000128.0,0.11926,5997000192.0,Not Available
DLTR,$66.40,$70.13,"$-3.73
","Dollar Tree, Inc.",Consumer Defensive,Discount Stores,15403188224.0,Not Available,2.1104853,Not Available,Not Available,-4.7,30966300672.0,-0.0344,2604699904.0,Not Available
TMUS,$246.94,$155.11,"$91.83
","T-Mobile US, Inc.",Communication Services,Telecom Services,271948513280.0,26.59863,4.2283573,Not Available,0.0150999995,8.77,80005996544.0,0.12964,30663999488.0,Not Available
CTSH,$80.49,$66.15,"$14.34
",Cognizant Technology Solutions Corporation,Technology,Information Technology Services,40285704192.0,17.780973,2.7583487,Not Available,0.0149,4.52,19412000768.0,0.116009995,3470000128.0,Not Available
MU,$97.95,$81.99,"$15.96
","Micron Technology, Inc.",Technology,Semiconductors,113694130176.0,140.34285,2.4140558,Not Available,0.0047,0.7,25110999040.0,0.03098,8944000000.0,Not Available
AEP,$99.86,$78.84,"$21.02
","American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,49864069120.0,18.719757,1.8574086,Not Available,0.0401,4.96,19602200576.0,0.13464,7258299904.0,Not Available
CDW,$175.93,$182.65,"$-6.72
",CDW Corporation,Technology,Information Technology Services,23754362880.0,21.793146,10.095255,Not Available,0.0139999995,8.17,20831199232.0,0.05327,1996300032.0,Not Available
ASML,$686.61,$704.78,"$-18.17
",ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,280390926336.0,38.608555,17.360079,Not Available,0.0095,18.47,26237100032.0,0.26399,8865399808.0,Not Available
APP,$336.75,$66.59,"$270.16
",AppLovin Corporation,Technology,Software - Application,113500520448.0,99.15198,116.62853,Not Available,Not Available,3.29,4289730048.0,0.26874,1975993984.0,Not Available
LRCX,$73.88,$74.58,"$-0.70
",Lam Research Corporation,Technology,Semiconductor Equipment & Materials,100657455104.0,24.459549,11.526613,Not Available,0.012200001,3.09,15591300096.0,0.2602,4920197120.0,Not Available
CSCO,$59.21,$46.16,"$13.05
","Cisco Systems, Inc.",Technology,Communication Equipment,234385408000.0,25.257511,5.185936,Not Available,0.0272,2.33,52976001024.0,0.17731,13752000512.0,Not Available
UAL,$96.83,$44.42,"$52.41
","United Airlines Holdings, Inc.",Industrials,Airlines,32545538048.0,11.438617,2.759424,Not Available,Not Available,8.39,55993999360.0,0.04936,7482999808.0,Not Available
TROW,$123.84,$100.31,"$23.53
","T. Rowe Price Group, Inc.",Financial Services,Asset Management,27039033344.0,13.248631,2.6217,Not Available,0.040999997,9.13,6911099904.0,0.30354,2648399872.0,Not Available
ISRG,$542.00,$333.64,"$208.36
","Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,194017820672.0,87.71658,12.451027,Not Available,Not Available,6.21,7866899968.0,0.28513,2505100032.0,Not Available
NVR,$9235.58,$6488.90,"$2746.68
","NVR, Inc.",Consumer Cyclical,Residential Construction,27111294976.0,18.018066,6.31191,Not Available,Not Available,488.21,10281399296.0,0.15898,2071504000.0,Not Available
TPR,$62.28,$33.75,"$28.53
","Tapestry, Inc.",Consumer Cyclical,Luxury Goods,14518158336.0,17.823189,4.804657,Not Available,0.0228,3.45,6665500160.0,0.12116,1439500032.0,Not Available
DVN,$37.95,$39.39,"$-1.44
",Devon Energy Corporation,Energy,Oil & Gas E&P,22833858560.0,6.3203707,1.5729561,Not Available,0.0425,5.4,14529000448.0,0.23429,7622000128.0,Not Available
CE,$73.21,$82.21,"$-9.00
",Celanese Corporation,Basic Materials,Chemicals,7526131200.0,6.8575697,1.0342342,Not Available,0.040700004,10.04,10478999552.0,0.10402001,1851000064.0,Not Available
BA,$155.44,$150.72,"$4.72
",The Boeing Company,Industrials,Aerospace & Defense,125506527232.0,Not Available,Not Available,Not Available,Not Available,-12.93,73292996608.0,-0.10880999,-3991000064.0,Not Available
VRTX,$468.13,$363.95,"$104.18
",Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,120598339584.0,Not Available,7.6529365,Not Available,Not Available,-1.9,10625800192.0,-0.045149997,4446600192.0,Not Available
GILD,$92.58,$66.62,"$25.96
","Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,115130417152.0,1026.4443,6.2305255,Not Available,0.033299997,0.09,28298999808.0,0.00445,13948999680.0,Not Available
EQIX,$981.48,$721.38,"$260.10
","Equinix, Inc.",Real Estate,REIT - Specialty,94104936448.0,87.70683,6.9255676,Not Available,0.0175,11.12,8401490944.0,0.12571,3352907008.0,Not Available
TER,$110.00,$98.71,"$11.29
","Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,19698036736.0,38.519108,6.7907467,Not Available,0.004,3.14,2737594880.0,0.18745,640716992.0,Not Available
PODD,$266.78,$174.23,"$92.55
",Insulet Corporation,Healthcare,Medical Devices,19182481408.0,46.291313,17.048122,Not Available,Not Available,5.87,1983900032.0,0.21215999,410600000.0,Not Available
MDT,$86.54,$78.36,"$8.18
",Medtronic plc,Healthcare,Medical Devices,106327080960.0,25.299696,2.1605036,Not Available,0.032,3.27,32576999424.0,0.12055001,9013000192.0,Not Available
V,$315.08,$258.38,"$56.70
",Visa Inc.,Financial Services,Credit Services,607645401088.0,32.26181,15.651243,Not Available,0.0075,9.74,35925999616.0,0.54955,24973000704.0,Not Available
QRVO,$69.05,$71.79,"$-2.74
","Qorvo, Inc.",Technology,Semiconductors,6582839808.0,Not Available,1.9331558,Not Available,Not Available,-1.45,3948028928.0,-0.03577,673129984.0,Not Available
A,$137.97,$127.68,"$10.29
","Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,40266440704.0,31.88009,6.863614,Not Available,0.0074,4.42,6496999936.0,0.21747999,1564000000.0,Not Available
FOX,$44.73,$27.93,"$16.80
",Fox Corporation,Communication Services,Entertainment,20497623040.0,10.992664,1.8254902,Not Available,0.012,4.09,14337000448.0,0.13399,3025999872.0,Not Available
MO,$57.74,$41.77,"$15.97
","Altria Group, Inc.",Consumer Defensive,Tobacco,93197606912.0,9.288852,Not Available,Not Available,0.074200004,5.92,20362000384.0,0.50511,12216000512.0,Not Available
CTRA,$26.72,$23.22,"$3.50
",Coterra Energy Inc.,Energy,Oil & Gas E&P,18897178624.0,15.551516,1.4489808,Not Available,0.0327,1.65,5498999808.0,0.22549999,3448999936.0,Not Available
SWKS,$87.59,$86.95,"$0.64
","Skyworks Solutions, Inc.",Technology,Semiconductors,14335318016.0,24.292683,2.2605538,Not Available,0.0335,3.69,4371800064.0,0.17848,1136199936.0,Not Available
ENPH,$71.35,$67.30,"$4.05
","Enphase Energy, Inc.",Technology,Solar,10028959744.0,158.69565,10.587382,Not Available,Not Available,0.46,1250240000.0,0.04912,102900000.0,Not Available
MCHP,$68.17,$66.49,"$1.68
",Microchip Technology Incorporated,Technology,Semiconductors,33036879872.0,42.708332,5.262257,Not Available,0.0296,1.44,5496600064.0,0.14220001,1950800000.0,Not Available
CDNS,$306.81,$254.81,"$52.00
","Cadence Design Systems, Inc.",Technology,Software - Application,84686831616.0,81.32454,18.52395,Not Available,Not Available,3.79,4353906176.0,0.23868,1450493056.0,Not Available
MSCI,$609.63,$464.62,"$145.01
",MSCI Inc.,Financial Services,Financial Data & Stock Exchanges,49843359744.0,41.841446,Not Available,Not Available,0.0101,15.2,2802725120.0,0.43065,1622592000.0,Not Available
CHTR,$396.97,$269.87,"$127.10
","Charter Communications, Inc.",Communication Services,Telecom Services,55231377408.0,12.180935,3.9177225,Not Available,Not Available,31.89,54869999616.0,0.085200004,21500000256.0,Not Available
EIX,$87.75,$66.83,"$20.92
",Edison International,Utilities,Utilities - Regulated Electric,31599185920.0,23.865498,2.254198,Not Available,0.0382,3.42,17321000960.0,0.07632,6444000256.0,Not Available
KDP,$32.65,$29.84,"$2.81
",Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,45861576704.0,20.367472,1.8367014,Not Available,0.0272,1.66,15148000256.0,0.15038,4230000128.0,Not Available
BBY,$90.00,$72.75,"$17.25
","Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,18899566592.0,15.136986,6.2367716,Not Available,0.0404,5.84,42537000960.0,0.02962,2673999872.0,Not Available
