Symbol,Company Name,Sector,Sub Industry,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio",27595937792,116.05,85.82,100.935,112.39
KMX,CarMax,Automotive Retail,"Richmond, Virginia",12295904256,88.22,59.66,73.94,76.28
CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida",22612844544,19.74,10.84,15.29,16.92
CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida",69069553664,77.48,45.68,61.58,75.37
CTLT,Catalent,Pharmaceuticals,"Somerset, New Jersey",10818883584,61.2,31.8,46.5,59.69
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",167440121856,382.01,223.76,302.885,339.58
CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois",21930240000,216.14,150.34,183.24,209.72
CBRE,CBRE Group,Real Estate Services,"Dallas, Texas",36361105408,119.18,64.63,91.905,117.48
CDW,CDW,Technology Distributors,"Vernon Hills, Illinois",29406754816,263.37,185.04,224.20499999999998,218.64
CE,Celanese,Specialty Chemicals,"Irving, Texas",13454769152,172.16,110.76,141.46,119.88
COR,Cencora,Health Care Distributors,"Conshohocken, Pennsylvania",47018401792,247.66,177.0,212.32999999999998,237.65
CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri",39636361216,81.42,63.45,72.435,74.82
CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas",18202568704,31.57,25.41,28.490000000000002,27.59
CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",14279610368,87.9,69.13,78.515,77.7
CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts",10254372864,275.0,161.65,218.325,194.32
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas",113638604800,79.49,48.66,64.07499999999999,61.74
CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut",48556204032,458.3,236.08,347.19,339.03
CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California",255171985408,171.7,135.37,153.535,139.21
CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California",76855214080,69.2614,35.3728,52.317099999999996,56.35
CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland",116684414976,294.18,204.15,249.16500000000002,287.65
CHD,Church & Dwight,Household Products,"Ewing, New Jersey",25470554112,110.31,82.25,96.28,103.55
CI,Cigna,Health Care Services,"Bloomfield, Connecticut",101957107712,370.64,253.95,312.29499999999996,362.17
CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio",21220517888,139.34,96.86,118.1,135.12
CTAS,Cintas,Diversified Support Services,"Mason, Ohio",83747102720,209.12,118.685,163.9025,206.02
CSCO,Cisco,Communications Equipment,"San Jose, California",198738345984,56.28,44.5,50.39,49.61
C,Citigroup,Diversified Banks,"New York City, New York",110022828032,67.81,38.17,52.99,57.33
CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island",17972346880,43.96,22.77,33.365,39.71
CLX,Clorox,Household Products,"Oakland, California",20594534400,167.75,114.69,141.22,164.97
CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois",78137450496,223.8,190.7,207.25,217.3
CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan",20937914368,70.12,49.87,59.995000000000005,69.31
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",307767836672,73.53,51.55,62.54,70.745
CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey",38269751296,80.27,62.14,71.205,76.31
CL,Colgate-Palmolive,Household Products,"New York City, New York",86390611968,109.3,67.62,88.46000000000001,106.34
CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania",153157369856,47.11,36.43,41.769999999999996,39.31
CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois",15353551872,33.24,25.16,29.200000000000003,31.75
COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas",120189378560,135.18,101.3,118.24000000000001,102.9
ED,Consolidated Edison,Multi-Utilities,"New York City, New York",36193128448,105.99,80.46,93.225,103.39
STZ,Constellation Brands,Distillers & Vintners,"Rochester, New York",46029369344,274.87,227.5,251.185,251.71
CEG,Constellation Energy,Electric Utilities,"Baltimore, Maryland",61280788480,236.3,102.405,169.35250000000002,189.93
COO,Cooper Companies (The),Health Care Supplies,"San Ramon, California",22012712960,110.69,75.935,93.3125,108.86
CPRT,Copart,Diversified Support Services,"Dallas, Texas",48336228352,58.58,42.41,50.495,49.47
GLW,Corning Inc.,Electronic Components,"Corning, New York",36367290368,46.39,25.26,35.825,41.86
CPAY,Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia",21345785856,319.94,220.39,270.16499999999996,305.81
CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",39201947648,58.76,43.22,50.989999999999995,55.7
CSGP,CoStar Group,Real Estate Services,"Washington, D.C.",32322267136,100.38,67.35,83.865,77.97
COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington",406094872576,923.83,540.23,732.03,915.03
CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas",16840662016,29.89,22.3,26.095,22.78
CRWD,CrowdStrike,Systems Software,"Austin, Texas",63519502336,398.327,157.59,277.9585,257.1
CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas",51648286720,120.31,84.72,102.515,117.505
CSX,CSX Corporation,Rail Transportation,"Jacksonville, Florida",64986566656,40.12,29.03,34.575,33.45
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",41406312448,322.83,212.8,267.815,297.25
CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island",72937684992,83.25,52.77,68.01,57.53
DHR,Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C.",198066913280,281.7,182.09,231.89499999999998,272.49
DRI,Darden Restaurants,Restaurants,"Orlando, Florida",18983856128,176.84,133.36,155.10000000000002,158.51
DVA,DaVita,Health Care Services,"Denver, Colorado",13722683392,163.59,71.51,117.55000000000001,157.64
DAY,Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota",9392720896,75.33,47.08,61.205,58.76
DECK,Deckers Brands,Footwear,"Goleta, California",23760689152,1106.89,484.02,795.455,919.13
DE,Deere & Company,Agricultural & Farm Machinery,"Moline, Illinois",107984445440,417.47,340.2,378.83500000000004,387.0
DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia",29160030208,53.86,30.6,42.230000000000004,44.27
DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",24703590400,55.09,39.02,47.05500000000001,39.57
DXCM,Dexcom,Health Care Equipment,"San Diego, California",27854534656,142.0,62.34,102.17,68.82
FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas",50983563264,214.5,143.08,178.79000000000002,170.86
DLR,Digital Realty,Data Center REITs,"Austin, Texas",53062275072,162.58,113.94,138.26,159.27
DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois",32973285376,147.61,79.04,113.32500000000002,129.26
DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",18637797376,168.07,77.96,123.01499999999999,83.21
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",14984941568,151.22,60.82,106.02,67.89
D,Dominion Energy,Multi-Utilities,"Richmond, Virginia",48792633344,58.18,39.18,48.68,57.18
DPZ,Domino's,Restaurants,"Ann Arbor, Michigan",14077412352,542.75,330.05,436.4,404.33
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",25437976576,192.31,127.25,159.78,186.68
DOW,Dow Inc.,Commodity Chemicals,"Midland, Michigan",35151192064,60.69,47.26,53.974999999999994,50.26
DHI,DR Horton,Homebuilding,"Arlington, Texas",63473438720,195.0,100.08,147.54,188.81
DTE,DTE Energy,Multi-Utilities,"Detroit, Michigan",26074169344,127.59,90.14,108.86500000000001,124.49
DUK,Duke Energy,Electric Utilities,"Charlotte, North Carolina",90587013120,118.18,83.06,100.62,115.97
DD,DuPont,Specialty Chemicals,"Wilmington, Delaware",33992441856,85.12,61.14,73.13,80.41
EMN,Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee",12048266240,105.98,68.89,87.435,99.62
ETN,Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland",121738977280,345.19,191.82,268.505,303.38
EBAY,eBay,Broadline Retail,"San Jose, California",31022159872,63.9,37.17,50.535,63.18
ECL,Ecolab,Specialty Chemicals,"Saint Paul, Minnesota",71288143872,253.54,156.72,205.13,250.69
EIX,Edison International,Electric Utilities,"Rosemead, California",32987238400,88.77,58.82,73.795,84.63
EW,Edwards Lifesciences,Health Care Equipment,"Irvine, California",41276444672,96.12,58.93,77.525,68.13
EA,Electronic Arts,Interactive Home Entertainment,"Redwood City, California",38528286720,153.51,117.47,135.49,144.75
ELV,Elevance Health,Managed Health Care,"Indianapolis, Indiana",127732088832,567.26,431.38,499.32,545.85
EMR,Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri",58361159680,119.53,83.1,101.315,101.47
ENPH,Enphase,Semiconductor Materials & Equipment,"Fremont, California",14884232192,141.63,73.49,107.56,105.83
ETR,Entergy,Electric Utilities,"New Orleans, Louisiana",27175782400,127.34,87.1,107.22,123.55
EOG,EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas",67873783808,139.67,108.94,124.30499999999999,118.22
EPAM,EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania",11494118400,317.5,169.43,243.465,202.3
EQT,EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",19715821568,45.23,30.02,37.625,32.86
EFX,Equifax,Research & Consulting Services,"Atlanta, Georgia",37956018176,308.54,159.95,234.245,297.77
EQIX,Equinix,Data Center REITs,"Redwood City, California",82748366848,914.93,677.8,796.365,868.81
EQR,Equity Residential,Multi-Family Residential REITs,"Chicago, Illinois",30513664000,78.11,52.57,65.34,77.38
ESS,Essex Property Trust,Multi-Family Residential REITs,"San Mateo, California",20877006848,314.31,203.85,259.08,310.22
EL,Estée Lauder Companies (The),Personal Care Products,"New York City, New York",30333278208,159.75,82.39,121.07,84.2
ETSY,Etsy,Broadline Retail,"New York City, New York",6385949184,89.58,50.63,70.105,51.74
EG,Everest Group,Reinsurance,"Hamilton, Bermuda",16562931712,417.92,343.76,380.84000000000003,379.05
EVRG,Evergy,Electric Utilities,"Kansas City, Missouri",14041235456,61.14,46.92,54.03,60.36
ES,Eversource,Electric Utilities,"Hartford, Connecticut",24291459072,69.01,52.03,60.52,67.5
EXC,Exelon,Electric Utilities,"Chicago, Illinois",40250114048,41.82,33.35,37.585,39.86
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington",17674403840,160.05,92.48,126.26500000000001,132.22
EXPD,Expeditors International,Air Freight & Logistics,"Seattle, Washington",17045439488,131.17,107.03,119.1,121.06
EXR,Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah",39235842048,179.23,101.19,140.20999999999998,177.28
XOM,ExxonMobil,Integrated Oil & Gas,"Irving, Texas",493820542976,123.75,95.77,109.75999999999999,111.23
FFIV,"F5, Inc.",Communications Equipment,"Seattle, Washington",12257792000,210.81,145.45,178.13,205.95
FDS,FactSet,Financial Exchanges & Data,"Norwalk, Connecticut",16941494272,488.64,391.84,440.24,439.88
FICO,Fair Isaac,Application Software,"Bozeman, Montana",45824094208,1886.23,811.99,1349.1100000000001,1862.08
FAST,Fastenal,Trading Companies & Distributors,"Winona, Minnesota",39982145536,79.04,53.83,66.435,69.82
FRT,Federal Realty,Retail REITs,"Rockville, Maryland",9895846912,117.65,85.59,101.62,116.26
FDX,FedEx,Air Freight & Logistics,"Memphis, Tennessee",70152511488,313.84,224.69,269.265,286.0
FIS,Fidelity National Information Services,Transaction & Payment Processing Services,"Jacksonville, Florida",45903925248,84.77,46.91,65.84,84.25
FITB,Fifth Third Bank,Diversified Banks,"Cincinnati, Ohio",28435744768,42.91,22.49,32.699999999999996,41.17
FSLR,First Solar,Semiconductors,"Tempe, Arizona",24491282432,306.77,129.22,217.995,235.95
FE,FirstEnergy,Electric Utilities,"Akron, Ohio",25611251712,44.97,32.18,38.575,44.06
FI,Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin",100688543744,175.48,109.12,142.3,173.63
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",7927571968,75.89,49.49,62.69,62.0
F,Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan",42495418368,14.85,9.49,12.17,10.62
FTNT,Fortinet,Systems Software,"Sunnyvale, California",57375752192,78.08,44.12,61.099999999999994,74.49
FTV,Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington",25785171968,87.1,63.05,75.07499999999999,73.32
FOXA,Fox Corporation (Class A),Broadcasting,"New York City, New York",17574139904,41.58,28.285,34.9325,38.91
FOX,Fox Corporation (Class B),Broadcasting,"New York City, New York",17574144000,38.515,25.815,32.165,36.04
BEN,Franklin Templeton,Asset Management & Custody Banks,"San Mateo, California",10407660544,30.32,18.95,24.634999999999998,19.67
FCX,Freeport-McMoRan,Copper,"Phoenix, Arizona",61296447488,55.24,32.83,44.035,41.81
GRMN,Garmin,Consumer Electronics,"Schaffhausen, Switzerland",33191512064,184.42,99.61,142.015,182.01
IT,Gartner,IT Consulting & Other Services,"Stamford, Connecticut",39343501312,510.98,323.61,417.295,505.67
GE,GE Aerospace,Aerospace & Defense,"Evendale, Ohio",193310785536,179.32,84.22187,131.770935,169.7
GEHC,GE HealthCare,Health Care Equipment,"Chicago, Illinois",39688499200,94.5,62.35,78.425,87.46
GEV,GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts",61992579072,228.677,119.0,173.8385,215.27
GEN,Gen Digital,Systems Software,"Tempe, Arizona",16305256448,26.76,16.38,21.57,26.25
GNRC,Generac,Electrical Components & Equipment,"Waukesha, Wisconsin",8453258752,169.57,79.86,124.715,140.68
GD,General Dynamics,Aerospace & Defense,"Falls Church, Virginia",83752329216,306.51,214.53,260.52,300.67
GIS,General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota",41028460544,75.9,60.33,68.11500000000001,73.01
GM,General Motors,Automobile Manufacturers,"Detroit, Michigan",52037496832,50.5,26.3,38.4,46.12
GPC,Genuine Parts Company,Distributors,"Atlanta, Georgia",19135328256,164.45,126.35,145.39999999999998,136.21
GILD,Gilead Sciences,Biotechnology,"Foster City, California",103097614336,87.87,62.07,74.97,82.39
GPN,Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia",28100022272,141.78,91.6,116.69,109.1
GL,Globe Life,Life & Health Insurance,"McKinney, Texas",9323295744,132.0,38.95,85.475,102.28
GDDY,GoDaddy,Internet Services & Infrastructure,"Tempe, Arizona",21467367424,167.65,71.15,119.4,152.61
GS,Goldman Sachs,Investment Banking & Brokerage,"New York City, New York",151265034240,517.26,289.36,403.31,474.06
HAL,Halliburton,Oil & Gas Equipment & Services,"Houston, Texas",24604444672,43.85,27.53,35.69,28.02
HIG,Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut",33802096640,117.68,68.82,93.25,115.17
HAS,Hasbro,Leisure Products,"Pawtucket, Rhode Island",9581444096,69.23,42.66,55.945,67.31
HCA,HCA Healthcare,Health Care Facilities,"Nashville, Tennessee",101856641024,403.05,215.96,309.505,391.67
DOC,Healthpeak Properties,Health Care REITs,"Denver, Colorado",15786423296,22.67,15.24,18.955000000000002,22.41
HSIC,Henry Schein,Health Care Distributors,"Melville, New York",8917708800,82.63,60.01,71.32,68.17
HSY,Hershey Company (The),Packaged Foods & Meats,"Hershey, Pennsylvania",40625500160,213.72,178.82,196.26999999999998,198.46
HES,Hess Corporation,Integrated Oil & Gas,"New York City, New York",39614349312,167.75,123.79,145.77,127.64
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals","Houston, Texas",22272188416,22.82,14.465,18.6425,16.86
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",53430304768,229.03,146.0,187.515,216.13
HOLX,Hologic,Health Care Equipment,"Marlborough, Massachusetts",18848872448,84.67,64.02,74.345,80.42
HD,Home Depot (The),Home Improvement Retail,"Atlanta, Georgia",377441386496,396.87,274.26,335.565,374.43
HON,Honeywell,Industrial Conglomerates,"Charlotte, North Carolina",132630323200,220.79,174.88,197.83499999999998,204.67
HRL,Hormel Foods,Packaged Foods & Meats,"Austin, Minnesota",17591519232,39.58,28.51,34.045,31.62
HST,Host Hotels & Resorts,Hotel & Resort REITs,"Bethesda, Maryland",24904327168,21.31,14.92,18.115,17.2
HWM,Howmet Aerospace,Aerospace & Defense,"Pittsburgh, Pennsylvania",38888247296,98.15,42.94,70.545,94.23
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals","Palo Alto, California",32100753408,39.52,25.22,32.370000000000005,33.1
HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",21720903680,429.61,248.37,338.99,399.18
HUM,Humana,Managed Health Care,"Louisville, Kentucky",38716465152,530.54,298.61,414.575,324.5
HBAN,Huntington Bancshares,Regional Banks,"Columbus, Ohio; Detroit, Michigan",20885942272,15.25,9.25,12.25,14.2
HII,Huntington Ingalls Industries,Aerospace & Defense,"Newport News, Virginia",10256735232,299.5,199.11,249.305,258.28
IBM,IBM,IT Consulting & Other Services,"Armonk, New York",197853380608,216.09,135.87,175.98000000000002,211.61
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",15124025344,246.36,183.77,215.065,198.11
IDXX,Idexx Laboratories,Health Care Equipment,"Westbrook, Maine",41198219264,583.39,372.5,477.945,497.04
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,"Glenview, Illinois",74744578048,271.15,217.5,244.325,248.2
INCY,Incyte,Biotechnology,"Wilmington, Delaware",12241528832,70.36,50.27,60.315,63.36
