Symbol,Stock Price,Predicted Short Position for Next Month,Difference,Company Name,Sector,Market Capital,Financial Results,Next Financial Statement
FCX,50.5,47.72,2.78,Freeport-McMoRan Inc.,Basic Materials,61296447488.0,USD,N/A
ADM,60.1,60.48,-0.38,Archer-Daniels-Midland Company,Consumer Defensive,28874995712.0,USD,N/A
LH,198.4,200.15,-1.75,Labcorp Holdings Inc.,Healthcare,18566803456.0,USD,N/A
SOLV,64.43,62.55,1.88,Solventum Corporation,Healthcare,12089771008.0,USD,N/A
BLDR,187.66,179.89,7.77,"Builders FirstSource, Inc.",Industrials,21346019328.0,USD,N/A
LNT,49.59,47.71,1.88,Alliant Energy Corporation,Utilities,15300225024.0,USD,N/A
BAC,37.83,35.05,2.78,Bank of America Corporation,Financial Services,299907776512.0,USD,N/A
PSX,151.41,153.79,-2.38,Phillips 66,Energy,53032689664.0,USD,N/A
GPN,124.57,122.89,1.68,Global Payments Inc.,Industrials,28100022272.0,USD,N/A
HUBB,407.53,391.57,15.96,Hubbell Incorporated,Industrials,21720903680.0,USD,N/A
PPG,130.16,130.66,-0.5,"PPG Industries, Inc.",Basic Materials,29624434688.0,USD,N/A
TECH,64.06,63.0,1.06,Bio-Techne Corporation,Healthcare,11846096896.0,USD,N/A
IRM,77.52,74.93,2.59,Iron Mountain Incorporated,Real Estate,34337910784.0,USD,N/A
IQV,234.88,229.33,5.55,IQVIA Holdings Inc.,Healthcare,43515011072.0,USD,N/A
ESS,246.92,234.34,12.58,"Essex Property Trust, Inc.",Real Estate,20877006848.0,USD,N/A
WBD,8.11,8.18,-0.07,"Warner Bros. Discovery, Inc.",Communication Services,20816713728.0,USD,N/A
HAL,38.54,38.34,0.2,Halliburton Company,Energy,24604444672.0,USD,N/A
STZ,260.04,258.41,1.63,"Constellation Brands, Inc.",Consumer Defensive,46029369344.0,USD,N/A
BG,102.73,103.04,-0.31,Bunge Global SA,Consumer Defensive,13793974272.0,USD,N/A
PARA,11.91,10.73,1.18,Paramount Global,Communication Services,7510777344.0,USD,N/A
ADI,201.97,185.33,16.64,"Analog Devices, Inc.",Technology,111919448064.0,USD,N/A
F,12.79,12.2,0.59,Ford Motor Company,Consumer Cyclical,42495418368.0,USD,N/A
ADBE,477.56,468.72,8.84,Adobe Inc.,Technology,238048149504.0,USD,N/A
STLD,134.04,131.69,2.35,"Steel Dynamics, Inc.",Basic Materials,17411551232.0,USD,N/A
SMCI,857.44,745.38,112.06,"Super Micro Computer, Inc.",Technology,26769690624.0,USD,N/A
CPRT,55.73,53.4,2.33,"Copart, Inc.",Industrials,48336228352.0,USD,N/A
TDG,1259.15,1196.55,62.6,TransDigm Group Incorporated,Industrials,76746932224.0,USD,N/A
TFX,206.71,208.3,-1.59,Teleflex Incorporated,Healthcare,11593261056.0,USD,N/A
ULTA,406.39,418.64,-12.25,"Ulta Beauty, Inc.",Consumer Cyclical,17825376256.0,USD,N/A
ARE,116.24,117.12,-0.88,"Alexandria Real Estate Equities, Inc.",Real Estate,21764292608.0,USD,N/A
SYK,335.61,328.36,7.25,Stryker Corporation,Healthcare,141093027840.0,USD,N/A
KVUE,18.86,19.1,-0.24,Kenvue Inc.,Consumer Defensive,44795826176.0,USD,N/A
CB,245.45,244.44,1.01,Chubb Limited,Financial Services,116684414976.0,USD,N/A
TSN,60.63,57.97,2.66,"Tyson Foods, Inc.",Consumer Defensive,21847963648.0,USD,N/A
GNRC,140.12,128.61,11.51,Generac Holdings Inc.,Industrials,8453258752.0,USD,N/A
PEP,175.58,168.0,7.58,"PepsiCo, Inc.",Consumer Defensive,243616382976.0,USD,N/A
PEG,67.82,64.66,3.16,Public Service Enterprise Group Incorporated,Utilities,41925312512.0,USD,N/A
NOW,723.55,721.01,2.54,"ServiceNow, Inc.",Technology,180937998336.0,USD,N/A
LLY,733.51,730.8,2.71,Eli Lilly and Company,Healthcare,831732514816.0,USD,N/A
COST,729.18,707.58,21.6,Costco Wholesale Corporation,Consumer Defensive,406094872576.0,USD,N/A
REG,58.28,57.3,0.98,Regency Centers Corporation,Real Estate,13636269056.0,USD,N/A
NWS,24.96,24.97,-0.01,News Corporation,Communication Services,15082764288.0,USD,N/A
LOW,229.87,230.45,-0.58,"Lowe's Companies, Inc.",Consumer Cyclical,144892559360.0,USD,N/A
MDLZ,70.61,66.43,4.18,"Mondelez International, Inc.",Consumer Defensive,100532314112.0,USD,N/A
BKNG,3521.08,3437.12,83.96,Booking Holdings Inc.,Consumer Cyclical,131837722624.0,USD,N/A
ZBRA,297.21,271.87,25.34,Zebra Technologies Corporation,Technology,17407354880.0,USD,N/A
FMC,58.46,56.27,2.19,FMC Corporation,Basic Materials,7927571968.0,USD,N/A
XEL,53.96,52.8,1.16,Xcel Energy Inc.,Utilities,35590864896.0,USD,N/A
AIZ,172.88,171.82,1.06,"Assurant, Inc.",Financial Services,9956744192.0,USD,N/A
MET,70.42,69.41,1.01,"MetLife, Inc.",Financial Services,53357764608.0,USD,N/A
FTV,75.97,76.87,-0.9,Fortive Corporation,Technology,25785171968.0,USD,N/A
DLR,142.83,136.76,6.07,"Digital Realty Trust, Inc.",Real Estate,53062275072.0,USD,N/A
ACGL,90.9,90.25,0.65,Arch Capital Group Ltd.,Financial Services,42126012416.0,USD,N/A
FAST,68.17,68.37,-0.2,Fastenal Company,Industrials,39982145536.0,USD,N/A
TJX,96.36,93.36,3.0,"The TJX Companies, Inc.",Consumer Cyclical,135130095616.0,USD,N/A
SNA,270.7,265.14,5.56,Snap-on Incorporated,Industrials,14774336512.0,USD,N/A
MPC,198.39,197.47,0.92,Marathon Petroleum Corporation,Energy,54747611136.0,USD,N/A
BR,194.15,194.41,-0.26,"Broadridge Financial Solutions, Inc.",Technology,24736473088.0,USD,N/A
D,50.45,47.29,3.16,"Dominion Energy, Inc.",Utilities,48792633344.0,USD,N/A
MRK,131.2,125.67,5.53,"Merck & Co., Inc.",Healthcare,293683101696.0,USD,N/A
STX,86.04,83.45,2.59,Seagate Technology Holdings plc,Technology,21497344000.0,USD,N/A
NOC,480.45,454.13,26.32,Northrop Grumman Corporation,Industrials,76015222784.0,USD,N/A
BXP,61.51,58.67,2.84,"BXP, Inc.",Real Estate,14176224256.0,USD,N/A
KHC,38.16,36.2,1.96,The Kraft Heinz Company,Consumer Defensive,43031158784.0,USD,N/A
IPG,31.47,30.49,0.98,"The Interpublic Group of Companies, Inc.",Communication Services,11586982912.0,USD,N/A
ABNB,164.23,156.05,8.18,"Airbnb, Inc.",Consumer Cyclical,74467803136.0,USD,N/A
UNP,242.79,230.68,12.11,Union Pacific Corporation,Industrials,151763402752.0,USD,N/A
ALLE,123.85,124.86,-1.01,Allegion plc,Industrials,12299873280.0,USD,N/A
ABBV,159.62,161.21,-1.59,AbbVie Inc.,Healthcare,343040884736.0,USD,N/A
ORCL,117.21,115.7,1.51,Oracle Corporation,Technology,448980287488.0,USD,N/A
ECL,221.1,219.16,1.94,Ecolab Inc.,Basic Materials,71288143872.0,USD,N/A
ETR,106.5,101.3,5.2,Entergy Corporation,Utilities,27175782400.0,USD,N/A
EBAY,52.02,49.75,2.27,eBay Inc.,Consumer Cyclical,31022159872.0,USD,N/A
SBUX,88.25,85.58,2.67,Starbucks Corporation,Consumer Cyclical,111699525632.0,USD,N/A
IR,93.5,89.04,4.46,Ingersoll Rand Inc.,Industrials,36729147392.0,USD,N/A
AMT,171.69,173.22,-1.53,American Tower Corporation,Real Estate,111399051264.0,USD,N/A
INTU,636.55,609.3,27.25,Intuit Inc.,Technology,183678156800.0,USD,N/A
DPZ,499.07,474.98,24.09,"Domino's Pizza, Inc.",Consumer Cyclical,14077412352.0,USD,N/A
PAYC,188.89,185.67,3.22,"Paycom Software, Inc.",Technology,9727900672.0,USD,N/A
PG,161.29,156.07,5.22,The Procter & Gamble Company,Consumer Defensive,409037537280.0,USD,N/A
CAT,343.38,342.05,1.33,Caterpillar Inc.,Industrials,167440121856.0,USD,N/A
ODFL,182.42,185.98,-3.56,"Old Dominion Freight Line, Inc.",Industrials,41275744256.0,USD,N/A
MCD,273.09,266.85,6.24,McDonald's Corporation,Consumer Cyclical,212713717760.0,USD,N/A
MNST,53.37,53.6,-0.23,Monster Beverage Corporation,Consumer Defensive,49786970112.0,USD,N/A
AMZN,179.62,175.2,4.42,"Amazon.com, Inc.",Consumer Cyclical,1957324390400.0,USD,N/A
GEHC,86.24,84.8,1.44,GE HealthCare Technologies Inc.,Healthcare,39688499200.0,USD,N/A
EG,364.7,361.15,3.55,"Everest Group, Ltd.",Financial Services,16562931712.0,USD,N/A
INTC,31.88,33.14,-1.26,Intel Corporation,Technology,84066156544.0,USD,N/A
PNR,79.96,79.15,0.81,Pentair plc,Industrials,15141411840.0,USD,N/A
GLW,31.33,31.09,0.24,Corning Incorporated,Technology,36367290368.0,USD,N/A
BDX,231.55,232.05,-0.5,"Becton, Dickinson and Company",Healthcare,67687849984.0,USD,N/A
KMI,18.68,17.81,0.87,"Kinder Morgan, Inc.",Energy,46919385088.0,USD,N/A
CSGP,92.65,85.33,7.32,"CoStar Group, Inc.",Real Estate,32322267136.0,USD,N/A
PWR,261.66,245.25,16.41,"Quanta Services, Inc.",Industrials,39711330304.0,USD,N/A
APTV,71.21,70.31,0.9,Aptiv PLC,Consumer Cyclical,16200491008.0,USD,N/A
BBWI,46.04,43.89,2.15,"Bath & Body Works, Inc.",Consumer Cyclical,5962037248.0,USD,N/A
DXCM,124.34,125.95,-1.61,"DexCom, Inc.",Healthcare,27854534656.0,USD,N/A
EXR,133.47,134.32,-0.85,Extra Space Storage Inc.,Real Estate,39235842048.0,USD,N/A
WELL,94.34,88.91,5.43,Welltower Inc.,Real Estate,79036956672.0,USD,N/A
HOLX,75.98,75.27,0.71,"Hologic, Inc.",Healthcare,18848872448.0,USD,N/A
EXPD,113.3,113.76,-0.46,"Expeditors International of Washington, Inc.",Industrials,17045439488.0,USD,N/A
GM,45.84,42.77,3.07,General Motors Company,Consumer Cyclical,52037496832.0,USD,N/A
TXN,177.48,161.45,16.03,Texas Instruments Incorporated,Technology,182545285120.0,USD,N/A
VRSK,221.14,222.3,-1.16,"Verisk Analytics, Inc.",Industrials,38282149888.0,USD,N/A
FI,155.89,147.62,8.27,"Fiserv, Inc.",Technology,100688543744.0,USD,N/A
SJM,113.6,111.14,2.46,The J. M. Smucker Company,Consumer Defensive,12847460352.0,USD,N/A
TMO,573.6,546.26,27.34,Thermo Fisher Scientific Inc.,Healthcare,233464496128.0,USD,N/A
OXY,67.78,66.31,1.47,Occidental Petroleum Corporation,Energy,46771855360.0,USD,N/A
RL,166.48,160.0,6.48,Ralph Lauren Corporation,Consumer Cyclical,11064854528.0,USD,N/A
DECK,833.46,813.38,20.08,Deckers Outdoor Corporation,Consumer Cyclical,23760689152.0,USD,N/A
CCI,93.58,94.15,-0.57,Crown Castle Inc.,Real Estate,51648286720.0,USD,N/A
MMM,91.83,90.88,0.95,3M Company,Industrials,73162956800.0,USD,N/A
MOS,30.25,30.54,-0.29,The Mosaic Company,Basic Materials,8408857088.0,USD,N/A
FTNT,64.18,64.19,-0.01,"Fortinet, Inc.",Technology,57375752192.0,USD,N/A
HSY,186.16,184.26,1.9,The Hershey Company,Consumer Defensive,40625500160.0,USD,N/A
JNPR,34.71,34.92,-0.21,"Juniper Networks, Inc.",Technology,12705691648.0,USD,N/A
DHI,145.33,144.16,1.17,"D.R. Horton, Inc.",Consumer Cyclical,63473438720.0,USD,N/A
ED,92.93,88.11,4.82,"Consolidated Edison, Inc.",Utilities,36193128448.0,USD,N/A
ES,59.46,57.56,1.9,Eversource Energy,Utilities,24291459072.0,USD,N/A
ADSK,217.93,215.5,2.43,"Autodesk, Inc.",Technology,56885751808.0,USD,N/A
GL,75.75,55.2,20.55,Globe Life Inc.,Financial Services,9323295744.0,USD,N/A
INVH,34.72,33.29,1.43,Invitation Homes Inc.,Real Estate,22678228992.0,USD,N/A
IP,33.83,34.06,-0.23,International Paper Company,Consumer Cyclical,16917357568.0,USD,N/A
EXPE,135.7,128.98,6.72,"Expedia Group, Inc.",Consumer Cyclical,17674403840.0,USD,N/A
KO,61.74,58.43,3.31,The Coca-Cola Company,Consumer Defensive,307767836672.0,USD,N/A
PCAR,111.96,112.43,-0.47,PACCAR Inc,Industrials,49863999488.0,USD,N/A
RVTY,101.51,100.53,0.98,"Revvity, Inc.",Healthcare,15050814464.0,USD,N/A
WDC,71.36,66.84,4.52,Western Digital Corporation,Technology,22331248640.0,USD,N/A
PYPL,65.96,62.59,3.37,"PayPal Holdings, Inc.",Financial Services,71665328128.0,USD,N/A
NEE,65.99,62.22,3.77,"NextEra Energy, Inc.",Utilities,173985382400.0,USD,N/A
UPS,147.59,143.25,4.34,"United Parcel Service, Inc.",Industrials,108990980096.0,USD,N/A
ELV,537.26,501.55,35.71,"Elevance Health, Inc.",Healthcare,127732088832.0,USD,N/A
EMR,109.89,109.19,0.7,Emerson Electric Co.,Industrials,58361159680.0,USD,N/A
MSFT,406.32,401.96,4.36,Microsoft Corporation,Technology,3200592642048.0,USD,N/A
ANSS,333.75,324.66,9.09,"ANSYS, Inc.",Technology,27833507840.0,USD,N/A
CTAS,166.56,165.8,0.75,Cintas Corporation,Industrials,83747102720.0,USD,N/A
BIO,275.94,282.56,-6.62,"Bio-Rad Laboratories, Inc.",Healthcare,9094622208.0,USD,N/A
UDR,37.91,35.54,2.37,"UDR, Inc.",Real Estate,17707872256.0,USD,N/A
CTLT,55.92,55.63,0.29,"Catalent, Inc.",Healthcare,10818883584.0,USD,N/A
WEC,81.49,78.3,3.19,"WEC Energy Group, Inc.",Utilities,30296172544.0,USD,N/A
UBER,69.05,69.79,-0.74,"Uber Technologies, Inc.",Technology,152276140032.0,USD,N/A
AME,177.51,177.76,-0.25,"AMETEK, Inc.",Industrials,38784593920.0,USD,N/A
IT,448.78,444.08,4.7,"Gartner, Inc.",Technology,39343501312.0,USD,N/A
DD,73.71,73.05,0.66,"DuPont de Nemours, Inc.",Basic Materials,33992441856.0,USD,N/A
ACN,308.01,310.61,-2.6,Accenture plc,Technology,218971308032.0,USD,N/A
VRSN,175.48,177.07,-1.59,"VeriSign, Inc.",Technology,17842255872.0,USD,N/A
EW,86.43,86.77,-0.34,Edwards Lifesciences Corporation,Healthcare,41276444672.0,USD,N/A
CMG,63.74,57.81,5.93,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,76855214080.0,USD,N/A
AWK,120.78,114.61,6.17,"American Water Works Company, Inc.",Utilities,28865058816.0,USD,N/A
COO,88.84,89.88,-1.04,"The Cooper Companies, Inc.",Healthcare,22012712960.0,USD,N/A
SHW,306.45,305.94,0.51,The Sherwin-Williams Company,Basic Materials,94697652224.0,USD,N/A
HPQ,28.0,27.91,0.09,HP Inc.,Technology,32100753408.0,USD,N/A
AMAT,203.38,191.82,11.56,"Applied Materials, Inc.",Technology,155375419392.0,USD,N/A
CCL,15.08,14.14,0.94,Carnival Corporation & plc,Consumer Cyclical,22612844544.0,USD,N/A
MLM,604.99,580.63,24.36,"Martin Marietta Materials, Inc.",Basic Materials,31822450688.0,USD,N/A
AVY,219.03,210.39,8.64,Avery Dennison Corporation,Consumer Cyclical,17667502080.0,USD,N/A
EVRG,51.69,49.9,1.79,"Evergy, Inc.",Utilities,14041235456.0,USD,N/A
EA,127.9,126.44,1.46,Electronic Arts Inc.,Communication Services,38528286720.0,USD,N/A
DE,393.33,395.02,-1.69,Deere & Company,Industrials,107984445440.0,USD,N/A
VLTO,94.12,87.32,6.8,Veralto Corporation,Industrials,27186601984.0,USD,N/A
SPG,142.36,141.66,0.7,"Simon Property Group, Inc.",Real Estate,61488967680.0,USD,N/A
AMD,157.4,150.37,7.03,"Advanced Micro Devices, Inc.",Technology,246510682112.0,USD,N/A
KLAC,706.26,635.51,70.75,KLA Corporation,Technology,101020385280.0,USD,N/A
NDAQ,60.12,60.37,-0.25,"Nasdaq, Inc.",Financial Services,41956016128.0,USD,N/A
URI,690.8,636.55,54.25,"United Rentals, Inc.",Industrials,48244154368.0,USD,N/A
RTX,101.41,97.98,3.43,RTX Corporation,Industrials,158458200064.0,USD,N/A
NXPI,242.7,218.79,23.91,NXP Semiconductors N.V.,Technology,58570756096.0,USD,N/A
PNC,156.11,148.03,8.08,"The PNC Financial Services Group, Inc.",Financial Services,70452191232.0,USD,N/A
KMX,69.59,69.69,-0.1,"CarMax, Inc.",Consumer Cyclical,12295904256.0,USD,N/A
MTCH,31.89,32.11,-0.22,"Match Group, Inc.",Communication Services,9031483392.0,USD,N/A
BIIB,208.9,192.87,16.03,Biogen Inc.,Healthcare,28495857664.0,USD,N/A
NVDA,87.74,77.65,10.08,NVIDIA Corporation,Technology,2921523052544.0,USD,N/A
CHRW,70.22,68.44,1.78,"C.H. Robinson Worldwide, Inc.",Industrials,11736509440.0,USD,N/A
ROP,526.78,529.19,-2.41,"Roper Technologies, Inc.",Technology,59156697088.0,USD,N/A
IDXX,499.3,481.66,17.64,"IDEXX Laboratories, Inc.",Healthcare,41198219264.0,USD,N/A
EXC,37.32,35.96,1.36,Exelon Corporation,Utilities,40250114048.0,USD,N/A
HES,162.53,151.53,11.0,Hess Corporation,Energy,39614349312.0,USD,N/A
HD,335.09,335.61,-0.52,"The Home Depot, Inc.",Consumer Cyclical,377441386496.0,USD,N/A
ALB,116.88,113.8,3.08,Albemarle Corporation,Basic Materials,10277086208.0,USD,N/A
VLO,165.8,164.58,1.22,Valero Energy Corporation,Energy,43014217728.0,USD,N/A
AON,285.03,289.3,-4.27,Aon plc,Financial Services,75567628288.0,USD,N/A
ZTS,158.42,147.69,10.73,Zoetis Inc.,Healthcare,86573514752.0,USD,N/A
FDX,265.84,264.74,1.1,FedEx Corporation,Industrials,70152511488.0,USD,N/A
DG,142.07,143.0,-0.93,Dollar General Corporation,Consumer Defensive,18637797376.0,USD,N/A
TYL,460.74,405.37,55.37,"Tyler Technologies, Inc.",Technology,24833806336.0,USD,N/A
HIG,95.3,96.13,-0.83,"The Hartford Financial Services Group, Inc.",Financial Services,33802096640.0,USD,N/A
CMS,59.34,57.23,2.11,CMS Energy Corporation,Utilities,20937914368.0,USD,N/A
CAG,31.08,29.31,1.77,"Conagra Brands, Inc.",Consumer Defensive,15353551872.0,USD,N/A
INCY,51.68,51.73,-0.05,Incyte Corporation,Healthcare,12241528832.0,USD,N/A
SCHW,74.99,70.56,4.43,The Charles Schwab Corporation,Financial Services,113638604800.0,USD,N/A
HSIC,73.13,70.4,2.73,"Henry Schein, Inc.",Healthcare,8917708800.0,USD,N/A
AZO,2945.98,2930.14,15.84,"AutoZone, Inc.",Consumer Cyclical,53355737088.0,USD,N/A
AXP,235.64,219.83,15.81,American Express Company,Financial Services,184126210048.0,USD,N/A
HPE,17.17,16.93,0.24,Hewlett Packard Enterprise Company,Technology,22272188416.0,USD,N/A
DFS,127.7,120.55,7.15,Discover Financial Services,Financial Services,32973285376.0,USD,N/A
HRL,35.32,33.99,1.33,Hormel Foods Corporation,Consumer Defensive,17591519232.0,USD,N/A
SO,73.21,68.42,4.79,The Southern Company,Utilities,97898340352.0,USD,N/A
FRT,102.19,97.15,5.04,Federal Realty Investment Trust,Real Estate,9895846912.0,USD,N/A
ZBH,119.35,120.38,-1.03,"Zimmer Biomet Holdings, Inc.",Healthcare,21640062976.0,USD,N/A
CME,210.94,207.28,3.66,CME Group Inc.,Financial Services,78137450496.0,USD,N/A
XOM,117.96,117.51,0.45,Exxon Mobil Corporation,Energy,493820542976.0,USD,N/A
AMP,410.01,410.54,-0.53,"Ameriprise Financial, Inc.",Financial Services,43241324544.0,USD,N/A
CVX,165.89,157.22,8.67,Chevron Corporation,Energy,255171985408.0,USD,N/A
CMCSA,38.57,38.31,0.26,Comcast Corporation,Communication Services,153157369856.0,USD,N/A
PCG,17.03,16.12,0.91,PG&E Corporation,Utilities,51702505472.0,USD,N/A
PNW,73.69,71.56,2.13,Pinnacle West Capital Corporation,Utilities,10304608256.0,USD,N/A
ICE,131.7,130.7,1.0,"Intercontinental Exchange, Inc.",Financial Services,92643557376.0,USD,N/A
BEN,24.99,25.0,-0.01,"Franklin Resources, Inc.",Financial Services,10407660544.0,USD,N/A
UHS,166.06,155.81,10.25,"Universal Health Services, Inc.",Healthcare,15514821632.0,USD,N/A
BKR,32.84,32.27,0.57,Baker Hughes Company,Energy,33414029312.0,USD,N/A
EMN,95.56,96.21,-0.65,Eastman Chemical Company,Basic Materials,12048266240.0,USD,N/A
SBAC,196.23,197.41,-1.18,SBA Communications Corporation,Real Estate,26110322688.0,USD,N/A
ROK,280.12,271.81,8.31,"Rockwell Automation, Inc.",Industrials,29832744960.0,USD,N/A
PTC,180.99,176.94,4.05,PTC Inc.,Technology,20690849792.0,USD,N/A
NRG,72.81,69.2,3.61,"NRG Energy, Inc.",Utilities,16725035008.0,USD,N/A
NSC,239.94,237.94,2.0,Norfolk Southern Corporation,Industrials,55574396928.0,USD,N/A
NKE,94.12,89.53,4.59,"NIKE, Inc.",Consumer Cyclical,118464438272.0,USD,N/A
FIS,69.6,70.02,-0.42,"Fidelity National Information Services, Inc.",Technology,45903925248.0,USD,N/A
FANG,207.76,200.33,7.43,"Diamondback Energy, Inc.",Energy,50983563264.0,USD,N/A
VTR,44.0,41.94,2.06,"Ventas, Inc.",Real Estate,26879797248.0,USD,N/A
MAS,69.85,70.54,-0.69,Masco Corporation,Industrials,17505751040.0,USD,N/A
RF,19.62,19.0,0.62,Regions Financial Corporation,Financial Services,20105295872.0,USD,N/A
ETSY,67.43,65.36,2.07,"Etsy, Inc.",Consumer Cyclical,6385949184.0,USD,N/A
AMCR,8.97,8.89,0.08,Amcor plc,Consumer Cyclical,15884286976.0,USD,N/A
TAP,62.54,63.01,-0.47,Molson Coors Beverage Company,Consumer Defensive,11387963392.0,USD,N/A
MAR,240.84,238.45,2.39,"Marriott International, Inc.",Consumer Cyclical,65240141824.0,USD,N/A
XYL,132.4,126.85,5.55,Xylem Inc.,Industrials,31777689600.0,USD,N/A
CMI,291.14,289.12,2.02,Cummins Inc.,Industrials,41406312448.0,USD,N/A
MTD,1238.09,1203.64,34.45,Mettler-Toledo International Inc.,Healthcare,29347428352.0,USD,N/A
CPAY,303.8,296.48,7.32,"Corpay, Inc.",Technology,21345785856.0,USD,N/A
KR,55.49,55.46,0.03,The Kroger Co.,Consumer Defensive,40422928384.0,USD,N/A
PLD,104.06,105.66,-1.6,"Prologis, Inc.",Real Estate,120349900800.0,USD,N/A
IBM,167.13,169.58,-2.45,International Business Machines Corporation,Technology,197853380608.0,USD,N/A
USB,41.12,39.9,1.22,U.S. Bancorp,Financial Services,69629952000.0,USD,N/A
BSX,73.17,67.9,5.27,Boston Scientific Corporation,Healthcare,122684801024.0,USD,N/A
LKQ,43.64,42.8,0.84,LKQ Corporation,Consumer Cyclical,10804026368.0,USD,N/A
LIN,443.18,445.16,-1.98,Linde plc,Basic Materials,223858180096.0,USD,N/A
ITW,248.28,249.87,-1.59,Illinois Tool Works Inc.,Industrials,74744578048.0,USD,N/A
